state_raw,year_label,value,table,source_title,source_url
Bihar,2016-17,25455.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chandigarh,2011-12,158967.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chandigarh,2012-13,169336.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chandigarh,2013-14,180615.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chandigarh,2014-15,182867.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chandigarh,2015-16,195205.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chandigarh,2016-17,208231.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chhattisgarh,2011-12,55177.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chhattisgarh,2012-13,56777.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chhattisgarh,2013-14,61409.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chhattisgarh,2014-15,61122.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chhattisgarh,2015-16,61433.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Chhattisgarh,2016-17,67139.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Delhi,2011-12,185001.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Delhi,2012-13,192220.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Delhi,2013-14,200702.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Delhi,2014-15,213669.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Delhi,2015-16,233115.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Delhi,2016-17,244255.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Goa,2011-12,259444.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Goa,2012-13,220019.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Goa,2013-14,188358.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Goa,2014-15,241081.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Goa,2015-16,278601.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Goa,2016-17,305875.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Gujarat,2011-12,87481.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Gujarat,2012-13,96683.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Gujarat,2013-14,102589.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Gujarat,2014-15,111370.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Gujarat,2015-16,120683.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Gujarat,2016-17,129738.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
