state_raw,year,atms,source_sheet,total_row_label
ODISHA,2020,7068.0,Statewise March 2020,Grand Total
PUDUCHERRY,2020,623.0,Statewise March 2020,Grand Total
PUNJAB,2020,7437.0,Statewise March 2020,Grand Total
RAJASTHAN,2020,11149.0,Statewise March 2020,Grand Total
SIKKIM,2020,200.0,Statewise March 2020,Grand Total
TAMIL NADU,2020,26892.0,Statewise March 2020,Grand Total
TELANGANA,2020,10884.0,Statewise March 2020,Grand Total
TRIPURA,2020,583.0,Statewise March 2020,Grand Total
UTTAR PRADESH,2020,21969.0,Statewise March 2020,Grand Total
UTTARAKHAND,2020,2781.0,Statewise March 2020,Grand Total
WEST BENGAL,2020,12292.0,Statewise March 2020,Grand Total
ANDAMAN & NICOBAR ISLANDS,2021,128.0,Statewise March 2021,Grand Total
ANDHRA PRADESH,2021,11635.0,Statewise March 2021,Grand Total
ARUNACHAL PRADESH,2021,254.0,Statewise March 2021,Grand Total
ASSAM,2021,4218.0,Statewise March 2021,Grand Total
BIHAR,2021,8550.0,Statewise March 2021,Grand Total
CHANDIGARH,2021,736.0,Statewise March 2021,Grand Total
CHHATTISGARH,2021,3829.0,Statewise March 2021,Grand Total
DADRA & NAGAR HAVELI,2021,207.0,Statewise March 2021,Grand Total
DAMAN,2021,74.0,Statewise March 2021,Grand Total
DELHI,2021,8202.0,Statewise March 2021,Grand Total
DIU,2021,3.0,Statewise March 2021,Grand Total
GOA,2021,989.0,Statewise March 2021,Grand Total
GUJARAT,2021,12283.0,Statewise March 2021,Grand Total
HARYANA,2021,6963.0,Statewise March 2021,Grand Total
HIMACHAL PRADESH,2021,1929.0,Statewise March 2021,Grand Total
JAMMU & KASHMIR,2021,2647.0,Statewise March 2021,Grand Total
JHARKHAND,2021,3700.0,Statewise March 2021,Grand Total
KARNATAKA,2021,18347.0,Statewise March 2021,Grand Total
KERALA,2021,10356.0,Statewise March 2021,Grand Total
LADAKH,2021,139.0,Statewise March 2021,Grand Total
LAKSHADWEEP,2021,20.0,Statewise March 2021,Grand Total
MADHYA PRADESH,2021,10763.0,Statewise March 2021,Grand Total
MAHARASHTRA,2021,27471.0,Statewise March 2021,Grand Total
MANIPUR,2021,386.0,Statewise March 2021,Grand Total
MEGHALAYA,2021,415.0,Statewise March 2021,Grand Total
MIZORAM,2021,177.0,Statewise March 2021,Grand Total
NAGALAND,2021,320.0,Statewise March 2021,Grand Total
ODISHA,2021,7620.0,Statewise March 2021,Grand Total
PUDUCHERRY,2021,633.0,Statewise March 2021,Grand Total
PUNJAB,2021,7464.0,Statewise March 2021,Grand Total
RAJASTHAN,2021,10874.0,Statewise March 2021,Grand Total
SIKKIM,2021,192.0,Statewise March 2021,Grand Total
TAMIL NADU,2021,27727.0,Statewise March 2021,Grand Total
TELANGANA,2021,11109.0,Statewise March 2021,Grand Total
TRIPURA,2021,526.0,Statewise March 2021,Grand Total
UTTAR PRADESH,2021,22127.0,Statewise March 2021,Grand Total
UTTARAKHAND,2021,2809.0,Statewise March 2021,Grand Total
WEST BENGAL,2021,12766.0,Statewise March 2021,Grand Total
ANDAMAN & NICOBAR ISLANDS,2022,123.0,Statewise March 2022,Total (Banks+WLAOs)
ANDHRA PRADESH,2022,12101.0,Statewise March 2022,Total (Banks+WLAOs)
ARUNACHAL PRADESH,2022,274.0,Statewise March 2022,Total (Banks+WLAOs)
ASSAM,2022,4426.0,Statewise March 2022,Total (Banks+WLAOs)
BIHAR,2022,9284.0,Statewise March 2022,Total (Banks+WLAOs)
CHANDIGARH,2022,755.0,Statewise March 2022,Total (Banks+WLAOs)
CHHATTISGARH,2022,4156.0,Statewise March 2022,Total (Banks+WLAOs)
DADRA & NAGAR HAVELI AND DAMAN & DIU,2022,305.0,Statewise March 2022,Total (Banks+WLAOs)
GOA,2022,1027.0,Statewise March 2022,Total (Banks+WLAOs)
GUJARAT,2022,13570.0,Statewise March 2022,Total (Banks+WLAOs)
HARYANA,2022,7075.0,Statewise March 2022,Total (Banks+WLAOs)
HIMACHAL PRADESH,2022,2178.0,Statewise March 2022,Total (Banks+WLAOs)
JAMMU & KASHMIR,2022,2689.0,Statewise March 2022,Total (Banks+WLAOs)
JHARKHAND,2022,4097.0,Statewise March 2022,Total (Banks+WLAOs)
KARNATAKA,2022,19018.0,Statewise March 2022,Total (Banks+WLAOs)
KERALA,2022,10926.0,Statewise March 2022,Total (Banks+WLAOs)
LADAKH,2022,154.0,Statewise March 2022,Total (Banks+WLAOs)
LAKSHADWEEP,2022,19.0,Statewise March 2022,Total (Banks+WLAOs)
MADHYA PRADESH,2022,11291.0,Statewise March 2022,Total (Banks+WLAOs)
MAHARASHTRA,2022,28817.0,Statewise March 2022,Total (Banks+WLAOs)
MANIPUR,2022,396.0,Statewise March 2022,Total (Banks+WLAOs)
MEGHALAYA,2022,451.0,Statewise March 2022,Total (Banks+WLAOs)
MIZORAM,2022,175.0,Statewise March 2022,Total (Banks+WLAOs)
NAGALAND,2022,327.0,Statewise March 2022,Total (Banks+WLAOs)
