unit,year,age_band,persons,male,female,pdf_page
JAMMU & KASHMIR (UT),2021,0-4,839,434,405,170
JAMMU & KASHMIR (UT),2011,5-9,1391,739,652,170
JAMMU & KASHMIR (UT),2016,5-9,1427,768,659,170
JAMMU & KASHMIR (UT),2021,5-9,905,469,436,170
JAMMU & KASHMIR (UT),2011,10-14,1347,708,639,170
JAMMU & KASHMIR (UT),2016,10-14,1386,736,650,170
JAMMU & KASHMIR (UT),2021,10-14,1423,765,657,170
JAMMU & KASHMIR (UT),2011,15-19,1238,645,594,170
JAMMU & KASHMIR (UT),2016,15-19,1338,704,635,170
JAMMU & KASHMIR (UT),2021,15-19,1378,732,646,170
JAMMU & KASHMIR (UT),2011,20-24,1133,592,542,170
JAMMU & KASHMIR (UT),2016,20-24,1226,639,587,170
JAMMU & KASHMIR (UT),2021,20-24,1326,698,628,170
JAMMU & KASHMIR (UT),2011,25-29,1035,548,487,170
JAMMU & KASHMIR (UT),2016,25-29,1125,586,539,170
JAMMU & KASHMIR (UT),2021,25-29,1218,634,584,170
JAMMU & KASHMIR (UT),2011,30-34,919,488,431,170
JAMMU & KASHMIR (UT),2016,30-34,1028,543,485,170
JAMMU & KASHMIR (UT),2021,30-34,1117,581,536,170
JAMMU & KASHMIR (UT),2011,35-39,809,429,380,170
JAMMU & KASHMIR (UT),2016,35-39,911,483,428,170
JAMMU & KASHMIR (UT),2021,35-39,1020,538,482,170
JAMMU & KASHMIR (UT),2011,40-44,698,372,326,170
JAMMU & KASHMIR (UT),2016,40-44,801,424,377,170
JAMMU & KASHMIR (UT),2021,40-44,903,478,425,170
JAMMU & KASHMIR (UT),2011,45-49,578,309,269,170
JAMMU & KASHMIR (UT),2016,45-49,688,366,322,170
JAMMU & KASHMIR (UT),2021,45-49,790,417,373,170
JAMMU & KASHMIR (UT),2011,50-54,457,244,214,170
JAMMU & KASHMIR (UT),2016,50-54,566,302,265,170
JAMMU & KASHMIR (UT),2021,50-54,674,357,317,170
JAMMU & KASHMIR (UT),2011,55-59,360,190,171,170
JAMMU & KASHMIR (UT),2016,55-59,441,233,208,170
JAMMU & KASHMIR (UT),2021,55-59,547,289,258,170
JAMMU & KASHMIR (UT),2011,60-64,291,152,139,170
JAMMU & KASHMIR (UT),2016,60-64,340,177,163,170
JAMMU & KASHMIR (UT),2021,60-64,417,218,199,170
JAMMU & KASHMIR (UT),2011,65-69,224,117,107,170
JAMMU & KASHMIR (UT),2016,65-69,267,137,130,170
JAMMU & KASHMIR (UT),2021,65-69,313,160,153,170
JAMMU & KASHMIR (UT),2011,70-74,192,99,92,170
JAMMU & KASHMIR (UT),2016,70-74,193,97,96,170
JAMMU & KASHMIR (UT),2021,70-74,233,116,117,170
JAMMU & KASHMIR (UT),2011,75-79,98,50,47,170
JAMMU & KASHMIR (UT),2016,75-79,152,74,77,170
JAMMU & KASHMIR (UT),2021,75-79,156,74,81,170
JAMMU & KASHMIR (UT),2011,80+,59,27,31,170
JAMMU & KASHMIR (UT),2016,80+,94,45,49,170
JAMMU & KASHMIR (UT),2021,80+,149,69,80,170
JAMMU & KASHMIR (UT),2011,Total,12267,6484,5783,170
JAMMU & KASHMIR (UT),2016,Total,12897,6789,6108,170
JAMMU & KASHMIR (UT),2021,Total,13408,7030,6378,170
JAMMU & KASHMIR (UT),2026,0-1,174,90,84,170
JAMMU & KASHMIR (UT),2031,0-1,181,93,88,170
JAMMU & KASHMIR (UT),2036,0-1,177,91,86,170
JAMMU & KASHMIR (UT),2026,0-4,859,443,417,170
JAMMU & KASHMIR (UT),2031,0-4,890,457,434,170
JAMMU & KASHMIR (UT),2036,0-4,873,448,425,170
JAMMU & KASHMIR (UT),2026,5-9,833,430,403,170
JAMMU & KASHMIR (UT),2031,5-9,853,439,414,170
JAMMU & KASHMIR (UT),2036,5-9,885,453,431,170
JAMMU & KASHMIR (UT),2026,10-14,901,467,434,170
