unit,year,pop_total,pop_male,pop_female,pop_18plus,pop_18plus_source,pop_0_14,pop_15_59,pop_60plus,pdf_page
JHARKHAND,2031,43209,22029,21181,30382,published T-17,10701,27837,4672,213
JHARKHAND,2036,45155,22962,22193,32602,published T-17,10393,29218,5543,213
ODISHA,2011,41974,21212,20762,27434,published T-17,12111,25971,3892,217
ODISHA,2016,43128,21341,21787,29497,published T-17,11200,27424,4504,217
ODISHA,2021,44033,21340,22693,31369,published T-17,10395,28444,5194,217
ODISHA,2026,44677,21222,23455,32847,published T-17,9747,28852,6078,217
ODISHA,2031,45008,20953,24055,33856,published T-17,9275,28633,7100,217
ODISHA,2036,45025,20542,24483,34456,published T-17,8757,28107,8161,217
CHHATTISGARH,2011,25545,12833,12712,15755,published T-17,8191,15408,1946,221
CHHATTISGARH,2016,27571,13834,13738,17680,published T-17,8211,17150,2210,221
CHHATTISGARH,2021,29493,14794,14698,19650,published T-17,8208,18699,2586,221
CHHATTISGARH,2026,31211,15651,15560,21477,published T-17,8144,19930,3137,221
CHHATTISGARH,2031,32719,16404,16315,23248,published T-17,7772,21125,3822,221
CHHATTISGARH,2036,34081,17076,17005,25033,published T-17,7411,22119,4551,221
MADHYA PRADESH,2011,72627,37612,35015,43669,published T-17,24330,42839,5458,225
MADHYA PRADESH,2016,78806,40737,38069,49227,published T-17,24645,47993,6168,225
MADHYA PRADESH,2021,84516,43609,40907,54949,published T-17,24767,52588,7161,225
MADHYA PRADESH,2026,89673,46157,43515,60196,published T-17,24847,56211,8614,225
MADHYA PRADESH,2031,94057,48288,45769,65346,published T-17,23572,60038,10448,225
MADHYA PRADESH,2036,97804,50073,47731,70696,published T-17,22230,63064,12510,225
GUJARAT,2011,60440,31491,28948,39340,published T-17,17515,38108,4816,229
GUJARAT,2016,65158,34071,31087,44169,published T-17,17326,41996,5836,229
GUJARAT,2021,69788,36600,33188,48908,published T-17,17323,45342,7123,229
GUJARAT,2026,74086,38930,35156,53301,published T-17,17324,48040,8722,229
GUJARAT,2031,77931,40986,36946,57452,published T-17,16888,50481,10562,229
GUJARAT,2036,81316,42800,38516,61528,published T-17,16190,52570,12556,229
MAHARASHTRA,2011,112374,58243,54131,75874,published T-17,30026,71167,11181,233
MAHARASHTRA,2016,118727,61649,57078,83993,published T-17,28375,77625,12726,233
MAHARASHTRA,2021,124437,64702,59735,91435,published T-17,26938,82950,14548,233
MAHARASHTRA,2026,129308,67292,62016,98127,published T-17,25337,87010,16962,233
MAHARASHTRA,2031,133451,69484,63967,103928,published T-17,24158,89318,19974,233
MAHARASHTRA,2036,136764,71208,65556,108680,published T-17,22847,90544,23373,233
ANDHRA PRADESH,2011,49577,24831,24747,34226,published T-17,12527,32026,5025,237
ANDHRA PRADESH,2016,51371,25710,25661,37090,published T-17,11582,34030,5759,237
ANDHRA PRADESH,2021,52787,26403,26384,39521,published T-17,10825,35406,6557,237
ANDHRA PRADESH,2026,53709,26834,26874,41332,published T-17,10185,35928,7596,237
ANDHRA PRADESH,2031,54175,27033,27142,42664,published T-17,9359,35953,8863,237
ANDHRA PRADESH,2036,54252,27029,27223,43713,published T-17,8528,35460,10263,237
KARNATAKA,2011,61095,30967,30129,41555,published T-17,16037,39220,5839,241
KARNATAKA,2016,64229,32567,31661,45443,published T-17,15421,42167,6640,241
KARNATAKA,2021,66845,33911,32934,48917,published T-17,14753,44434,7658,241
KARNATAKA,2026,68962,34987,33975,51906,published T-17,14019,45945,8997,241
KARNATAKA,2031,70652,35840,34812,54537,published T-17,13097,46961,10594,241
KARNATAKA,2036,71948,36482,35466,56790,published T-17,12379,47194,12375,241
KERALA,2011,33406,16027,17379,23955,published T-17,7839,21340,4227,245
KERALA,2016,34578,16594,17984,25428,published T-17,7541,22027,5011,245
KERALA,2021,35489,17043,18447,26708,published T-17,7247,22390,5853,245
KERALA,2026,36207,17395,18812,27740,published T-17,6976,22463,6767,245
KERALA,2031,36695,17638,19057,28526,published T-17,6746,22295,7653,245
KERALA,2036,36949,17775,19174,29036,published T-17,6553,21977,8418,245
TAMIL NADU,2011,72147,36138,36009,51379,published T-17,17023,47508,7615,249
TAMIL NADU,2016,74635,37342,37294,54933,published T-17,16127,49585,8923,249
TAMIL NADU,2021,76402,38165,38237,57891,published T-17,15190,50793,10419,249
TAMIL NADU,2026,77546,38654,38892,60189,published T-17,14221,51098,12227,249
TAMIL NADU,2031,78082,38830,39252,61949,published T-17,13083,50790,14210,249
TAMIL NADU,2036,78067,38739,39328,63161,published T-17,12145,49677,16245,249
TELANGANA,2011,35004,17612,17392,23443,published T-17,9464,22310,3229,253
TELANGANA,2016,36462,18346,18116,25738,published T-17,8681,24106,3675,253
TELANGANA,2021,37725,18978,18747,27767,published T-17,8117,25448,4160,253
TELANGANA,2026,38636,19417,19219,29351,published T-17,7624,26189,4824,253
TELANGANA,2031,39207,19675,19532,30560,published T-17,7066,26442,5698,253
TELANGANA,2036,39467,19772,19696,31531,published T-17,6412,26306,6750,253
NORTH-EAST STATES (Excluding Assam),2011,14567,7422,7145,8868,published T-17,4758,8919,890,257
NORTH-EAST STATES (Excluding Assam),2016,15362,7817,7545,10147,published T-17,4245,9992,1124,257
NORTH-EAST STATES (Excluding Assam),2021,16142,8200,7942,11390,published T-17,3811,10907,1424,257
NORTH-EAST STATES (Excluding Assam),2026,16890,8563,8327,12549,published T-17,3448,11642,1799,257
NORTH-EAST STATES (Excluding Assam),2031,17565,8886,8679,13432,published T-17,3495,11838,2232,257
NORTH-EAST STATES (Excluding Assam),2036,18098,9132,8967,13969,published T-17,3437,11955,2706,257
