unit,year,age,persons,male,female,pdf_page
JAMMU & KASHMIR (UT),2016,9,291,156,135,172
JAMMU & KASHMIR (UT),2021,9,215,113,102,172
JAMMU & KASHMIR (UT),2011,10,274,145,129,172
JAMMU & KASHMIR (UT),2016,10,281,150,131,172
JAMMU & KASHMIR (UT),2021,10,252,135,117,172
JAMMU & KASHMIR (UT),2011,11,273,144,129,172
JAMMU & KASHMIR (UT),2016,11,279,149,131,172
JAMMU & KASHMIR (UT),2021,11,282,152,130,172
JAMMU & KASHMIR (UT),2011,12,271,142,129,172
JAMMU & KASHMIR (UT),2016,12,277,147,130,172
JAMMU & KASHMIR (UT),2021,12,298,161,137,172
JAMMU & KASHMIR (UT),2011,13,267,140,127,172
JAMMU & KASHMIR (UT),2016,13,276,146,130,172
JAMMU & KASHMIR (UT),2021,13,301,162,138,172
JAMMU & KASHMIR (UT),2011,14,262,137,125,172
JAMMU & KASHMIR (UT),2016,14,274,145,129,172
JAMMU & KASHMIR (UT),2021,14,290,156,134,172
JAMMU & KASHMIR (UT),2011,15,256,134,122,172
JAMMU & KASHMIR (UT),2016,15,273,144,129,172
JAMMU & KASHMIR (UT),2021,15,279,149,130,172
JAMMU & KASHMIR (UT),2011,16,252,131,121,172
JAMMU & KASHMIR (UT),2016,16,272,143,129,172
JAMMU & KASHMIR (UT),2021,16,278,148,130,172
JAMMU & KASHMIR (UT),2011,17,248,129,119,172
JAMMU & KASHMIR (UT),2016,17,269,142,128,172
JAMMU & KASHMIR (UT),2021,17,276,147,129,172
JAMMU & KASHMIR (UT),2011,18,243,126,117,172
JAMMU & KASHMIR (UT),2016,18,265,139,126,172
JAMMU & KASHMIR (UT),2021,18,274,145,129,172
JAMMU & KASHMIR (UT),2011,19,239,125,115,172
JAMMU & KASHMIR (UT),2016,19,260,136,124,172
JAMMU & KASHMIR (UT),2021,19,272,144,128,172
JAMMU & KASHMIR (UT),2011,20,235,122,113,172
JAMMU & KASHMIR (UT),2016,20,254,133,121,172
JAMMU & KASHMIR (UT),2021,20,270,143,127,172
JAMMU & KASHMIR (UT),2011,21,231,120,111,172
JAMMU & KASHMIR (UT),2016,21,249,130,119,172
JAMMU & KASHMIR (UT),2021,21,269,142,127,172
JAMMU & KASHMIR (UT),2011,22,226,118,108,172
JAMMU & KASHMIR (UT),2016,22,245,128,117,172
JAMMU & KASHMIR (UT),2021,22,267,140,126,172
JAMMU & KASHMIR (UT),2011,23,223,116,106,172
JAMMU & KASHMIR (UT),2016,23,241,125,116,172
JAMMU & KASHMIR (UT),2021,23,263,138,125,172
JAMMU & KASHMIR (UT),2026,5,167,86,81,172
JAMMU & KASHMIR (UT),2031,5,173,89,84,172
JAMMU & KASHMIR (UT),2036,5,177,91,86,172
JAMMU & KASHMIR (UT),2026,6,165,85,80,172
JAMMU & KASHMIR (UT),2031,6,172,88,83,172
JAMMU & KASHMIR (UT),2036,6,178,91,87,172
JAMMU & KASHMIR (UT),2026,7,164,85,79,172
JAMMU & KASHMIR (UT),2031,7,170,88,83,172
JAMMU & KASHMIR (UT),2036,7,178,91,87,172
JAMMU & KASHMIR (UT),2026,8,166,86,80,172
JAMMU & KASHMIR (UT),2031,8,169,87,82,172
JAMMU & KASHMIR (UT),2036,8,177,91,86,172
JAMMU & KASHMIR (UT),2026,9,171,88,82,172
JAMMU & KASHMIR (UT),2031,9,169,87,82,172
JAMMU & KASHMIR (UT),2036,9,175,90,85,172
JAMMU & KASHMIR (UT),2026,10,168,86,81,172
JAMMU & KASHMIR (UT),2031,10,166,86,81,172
JAMMU & KASHMIR (UT),2036,10,173,89,84,172
JAMMU & KASHMIR (UT),2026,11,163,84,80,172
JAMMU & KASHMIR (UT),2031,11,164,85,80,172
JAMMU & KASHMIR (UT),2036,11,171,88,83,172
JAMMU & KASHMIR (UT),2026,12,170,87,82,172
JAMMU & KASHMIR (UT),2031,12,164,84,79,172
JAMMU & KASHMIR (UT),2036,12,170,87,83,172
JAMMU & KASHMIR (UT),2026,13,187,97,90,172
JAMMU & KASHMIR (UT),2031,13,166,86,80,172
JAMMU & KASHMIR (UT),2036,13,169,87,82,172
JAMMU & KASHMIR (UT),2026,14,214,113,101,172
JAMMU & KASHMIR (UT),2031,14,170,88,82,172
JAMMU & KASHMIR (UT),2036,14,168,86,81,172
JAMMU & KASHMIR (UT),2026,15,251,134,117,172
JAMMU & KASHMIR (UT),2031,15,167,86,81,172
JAMMU & KASHMIR (UT),2036,15,165,85,80,172
JAMMU & KASHMIR (UT),2026,16,280,151,129,172
JAMMU & KASHMIR (UT),2031,16,162,83,79,172
JAMMU & KASHMIR (UT),2036,16,163,84,79,172
