state,year,ref_date,pop_total_000,share_18plus,pop_18plus_000,share_source_unit,share_source,share_method
JAMMU & KASHMIR (UT),2028,1october 2028,14136.0,0.76678,10839.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2029,1october 2029,14229.0,0.77326,11002.7,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2030,1october 2030,14322.0,0.77974,11167.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2031,1october 2031,14406.0,0.78623,11326.4,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2032,1october 2032,14483.0,0.78697,11397.6,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2033,1october 2033,14560.0,0.78771,11469.0,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2034,1october 2034,14638.0,0.78844,11541.3,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2035,1october 2035,14715.0,0.78918,11612.8,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2036,1october 2036,14792.0,0.78992,11684.5,JAMMU & KASHMIR (UT),own,published
HIMACHAL PRADESH,2011,1october 2011,6899.0,0.68478,4724.3,HIMACHAL PRADESH,own,published
HIMACHAL PRADESH,2012,1october 2012,6958.0,0.69133,4810.2,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2013,1october 2013,7016.0,0.69787,4896.3,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2014,1october 2014,7075.0,0.70442,4983.8,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2015,1october 2015,7134.0,0.71097,5072.1,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2016,1october 2016,7186.0,0.71752,5156.1,HIMACHAL PRADESH,own,published
HIMACHAL PRADESH,2017,1october 2017,7233.0,0.72341,5232.4,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2018,1october 2018,7280.0,0.72929,5309.3,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2019,1october 2019,7327.0,0.73518,5386.7,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2020,1october 2020,7374.0,0.74107,5464.6,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2021,1october 2021,7415.0,0.74696,5538.7,HIMACHAL PRADESH,own,published
HIMACHAL PRADESH,2022,1october 2022,7453.0,0.75197,5604.4,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2023,1october 2023,7490.0,0.75697,5669.7,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2024,1october 2024,7527.0,0.76198,5735.5,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2025,1october 2025,7564.0,0.76699,5801.5,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2026,1october 2026,7595.0,0.772,5863.4,HIMACHAL PRADESH,own,published
HIMACHAL PRADESH,2027,1october 2027,7621.0,0.776,5913.9,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2028,1october 2028,7648.0,0.78001,5965.5,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2029,1october 2029,7674.0,0.78401,6016.5,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2030,1october 2030,7701.0,0.78801,6068.5,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2031,1october 2031,7720.0,0.79201,6114.3,HIMACHAL PRADESH,own,published
HIMACHAL PRADESH,2032,1october 2032,7735.0,0.79505,6149.7,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2033,1october 2033,7750.0,0.79808,6185.2,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2034,1october 2034,7764.0,0.80112,6219.9,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2035,1october 2035,7779.0,0.80416,6255.5,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2036,1october 2036,7794.0,0.80719,6291.3,HIMACHAL PRADESH,own,published
PUNJAB,2011,1october 2011,27906.0,0.68489,19112.6,PUNJAB,own,published
PUNJAB,2012,1october 2012,28186.0,0.69208,19507.0,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2013,1october 2013,28465.0,0.69927,19904.7,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2014,1october 2014,28744.0,0.70646,20306.4,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2015,1october 2015,29024.0,0.71364,20712.8,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2016,1october 2016,29280.0,0.72083,21105.9,PUNJAB,own,published
PUNJAB,2017,1october 2017,29520.0,0.72656,21448.0,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2018,1october 2018,29759.0,0.73228,21792.0,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2019,1october 2019,29999.0,0.73801,22139.6,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2020,1october 2020,30239.0,0.74374,22489.9,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2021,1october 2021,30453.0,0.74946,22823.4,PUNJAB,own,published
PUNJAB,2022,1october 2022,30649.0,0.75381,23103.5,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2023,1october 2023,30845.0,0.75815,23385.2,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2024,1october 2024,31041.0,0.7625,23668.7,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2025,1october 2025,31237.0,0.76684,23953.8,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2026,1october 2026,31408.0,0.77119,24221.4,PUNJAB,own,published
PUNJAB,2027,1october 2027,31562.0,0.77469,24450.7,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2028,1october 2028,31715.0,0.77819,24680.3,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2029,1october 2029,31869.0,0.78169,24911.8,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2030,1october 2030,32023.0,0.7852,25144.4,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2031,1october 2031,32154.0,0.7887,25359.8,PUNJAB,own,published
PUNJAB,2032,1october 2032,32268.0,0.79191,25553.2,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
