unit,year,persons_000,male_000,female_000
GOA,2018,1536,776,760
GOA,2019,1545,780,766
GOA,2020,1555,784,771
GOA,2021,1563,788,775
GOA,2022,1571,792,779
GOA,2023,1579,796,784
GOA,2024,1587,799,788
GOA,2025,1595,803,793
GOA,2026,1603,806,797
GOA,2027,1610,809,800
GOA,2028,1617,812,804
GOA,2029,1624,815,808
GOA,2030,1631,819,812
GOA,2031,1637,821,815
GOA,2032,1643,824,819
GOA,2033,1649,827,822
GOA,2034,1654,829,825
GOA,2035,1660,832,829
GOA,2036,1666,834,832
LAKSHADWEEP,2011,65,33,31
LAKSHADWEEP,2012,65,33,32
LAKSHADWEEP,2013,66,34,32
LAKSHADWEEP,2014,66,34,32
LAKSHADWEEP,2015,66,34,32
LAKSHADWEEP,2016,67,34,32
LAKSHADWEEP,2017,67,34,33
LAKSHADWEEP,2018,67,35,33
LAKSHADWEEP,2019,68,35,33
LAKSHADWEEP,2020,68,35,33
LAKSHADWEEP,2021,68,35,33
LAKSHADWEEP,2022,69,35,33
LAKSHADWEEP,2023,69,35,33
LAKSHADWEEP,2024,69,36,34
LAKSHADWEEP,2025,69,36,34
LAKSHADWEEP,2026,70,36,34
LAKSHADWEEP,2027,70,36,34
LAKSHADWEEP,2028,70,36,34
LAKSHADWEEP,2029,70,36,34
LAKSHADWEEP,2030,71,36,34
LAKSHADWEEP,2031,71,36,34
LAKSHADWEEP,2032,71,36,34
LAKSHADWEEP,2033,71,37,35
LAKSHADWEEP,2034,71,37,35
LAKSHADWEEP,2035,71,37,35
LAKSHADWEEP,2036,72,37,35
PUDUCHERRY,2011,1266,620,645
PUDUCHERRY,2012,1297,634,663
PUDUCHERRY,2013,1328,648,680
PUDUCHERRY,2014,1358,661,697
PUDUCHERRY,2015,1389,675,714
PUDUCHERRY,2016,1422,689,733
PUDUCHERRY,2017,1456,703,752
PUDUCHERRY,2018,1489,718,772
PUDUCHERRY,2019,1523,732,791
PUDUCHERRY,2020,1557,747,811
PUDUCHERRY,2021,1593,762,831
PUDUCHERRY,2022,1630,777,853
PUDUCHERRY,2023,1667,792,875
PUDUCHERRY,2024,1704,807,897
PUDUCHERRY,2025,1742,823,919
PUDUCHERRY,2026,1781,839,942
PUDUCHERRY,2027,1822,855,967
PUDUCHERRY,2028,1862,871,991
PUDUCHERRY,2029,1903,887,1016
PUDUCHERRY,2030,1944,903,1040
PUDUCHERRY,2031,1987,920,1067
PUDUCHERRY,2032,2031,937,1094
PUDUCHERRY,2033,2076,954,1122
PUDUCHERRY,2034,2120,971,1150
PUDUCHERRY,2035,2165,988,1177
PUDUCHERRY,2036,2210,1005,1205
ANDAMAN & NICOBAR ISLANDS,2011,382,203,178
ANDAMAN & NICOBAR ISLANDS,2012,384,204,180
ANDAMAN & NICOBAR ISLANDS,2013,386,205,181
ANDAMAN & NICOBAR ISLANDS,2014,389,206,182
ANDAMAN & NICOBAR ISLANDS,2015,391,207,184
ANDAMAN & NICOBAR ISLANDS,2016,393,208,185
ANDAMAN & NICOBAR ISLANDS,2017,395,209,186
ANDAMAN & NICOBAR ISLANDS,2018,396,210,187
ANDAMAN & NICOBAR ISLANDS,2019,398,210,188
ANDAMAN & NICOBAR ISLANDS,2020,400,211,189
ANDAMAN & NICOBAR ISLANDS,2021,401,212,189
ANDAMAN & NICOBAR ISLANDS,2022,402,212,190
ANDAMAN & NICOBAR ISLANDS,2023,403,213,191
ANDAMAN & NICOBAR ISLANDS,2024,405,213,191
ANDAMAN & NICOBAR ISLANDS,2025,406,214,192
ANDAMAN & NICOBAR ISLANDS,2026,407,214,193
ANDAMAN & NICOBAR ISLANDS,2027,407,214,193
ANDAMAN & NICOBAR ISLANDS,2028,408,215,194
ANDAMAN & NICOBAR ISLANDS,2029,409,215,194
ANDAMAN & NICOBAR ISLANDS,2030,410,215,195
ANDAMAN & NICOBAR ISLANDS,2031,411,216,195
ANDAMAN & NICOBAR ISLANDS,2032,411,216,195
ANDAMAN & NICOBAR ISLANDS,2033,412,216,196
ANDAMAN & NICOBAR ISLANDS,2034,412,216,196
ANDAMAN & NICOBAR ISLANDS,2035,413,217,196
ANDAMAN & NICOBAR ISLANDS,2036,414,217,197
TELANGANA,2011,35149,17685,17464
TELANGANA,2012,35441,17832,17609
TELANGANA,2013,35733,17979,17754
TELANGANA,2014,36024,18126,17899
TELANGANA,2015,36316,18272,18043
TELANGANA,2016,36588,18409,18179
TELANGANA,2017,36841,18536,18305
TELANGANA,2018,37093,18662,18432
TELANGANA,2019,37346,18788,18558
TELANGANA,2020,37599,18915,18684
TELANGANA,2021,37816,19022,18794
TELANGANA,2022,37999,19110,18889
TELANGANA,2023,38181,19197,18983
TELANGANA,2024,38363,19285,19078
TELANGANA,2025,38545,19373,19172
TELANGANA,2026,38693,19442,19251
TELANGANA,2027,38807,19494,19313
TELANGANA,2028,38921,19546,19375
TELANGANA,2029,39035,19598,19438
TELANGANA,2030,39150,19649,19500
TELANGANA,2031,39233,19685,19548
TELANGANA,2032,39285,19704,19581
TELANGANA,2033,39337,19723,19614
TELANGANA,2034,39389,19743,19646
TELANGANA,2035,39441,19762,19679
TELANGANA,2036,39493,19781,19712
LADAKH,2011,276,157,118
LADAKH,2012,278,159,120
LADAKH,2013,281,160,121
LADAKH,2014,284,161,123
LADAKH,2015,286,162,124
LADAKH,2016,288,163,125
LADAKH,2017,290,164,126
LADAKH,2018,292,165,127
LADAKH,2019,294,166,128
LADAKH,2020,296,167,130
LADAKH,2021,298,167,131
LADAKH,2022,300,168,132
LADAKH,2023,301,169,133
LADAKH,2024,303,169,133
LADAKH,2025,305,170,134
LADAKH,2026,306,171,135
LADAKH,2027,307,171,136
LADAKH,2028,309,172,137
LADAKH,2029,310,172,138
LADAKH,2030,311,172,139
LADAKH,2031,312,173,139
LADAKH,2032,313,173,140
LADAKH,2033,314,173,141
LADAKH,2034,315,173,141
LADAKH,2035,315,174,142
LADAKH,2036,316,174,143
