Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
2025/06/30 00:00:00,38,WESTERN REGION,,,,23805,26127791,9091581950000,308898042,13317307591000,59760462,45172243654000,394786295
2023/03/31 00:00:00,21,NORTHERN REGION,,,,24799,29855930,3589945588000,319200824,11874467424000,47695701,22874340388000,
2026/03/31 00:00:00,21,NORTHERN REGION,,,,27091,13469116,4566875585000,451717240,14177196448000,54420006,33376235889000,519606362
2025/06/30 00:00:00,2,CHHATTISGARH,,,,2571,1618579,171582546000,32694166,1103522019000,3739154,1215707120000,38051899
2026/06/30 00:00:00,13,NORTH EASTERN REGION,,,,4463,1424816,348915096000,56418994,1670662279000,5332096,1821410293000,63175906
2023/06/30 00:00:00,16,MANIPUR,,,,216,318159,19717454000,2777917,90408587000,90892,30524421000,
2025/09/30 00:00:00,16,MANIPUR,,,,234,89008,17488457000,2959506,97045480000,112712,46307594000,3161226
2024/06/30 00:00:00,14,ARUNACHAL PRADESH,,,,180,84677,35955134000,1508287,127021213000,195198,91019359000,1788162
2026/06/30 00:00:00,42,GOA,,,,711,203078,66245032000,4454212,362190418000,1969308,877434087000,6626598
2024/09/30 00:00:00,37,TELANGANA,,,,5215,2711588,832509757000,61931129,2431821508000,7118789,4673906867000,71761506
2025/03/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,76,30600,5564900000,528547,40960092000,127339,38965540000,686486
2025/03/31 00:00:00,22,CHANDIGARH,,,,461,176896,71637666000,3214707,388899400000,1268194,805420488000,4659797
2023/12/31 00:00:00,33,KERALA,,,,6413,2876397,408298854000,71926052,2195344718000,10848948,4940018910000,85651397
2023/06/30 00:00:00,4,UTTARAKHAND,,,,1932,2046090,94660511000,15543976,804393200000,3598110,1070297838000,
2024/03/31 00:00:00,31,ANDHRA PRADESH,,,,6541,2605908,326467162000,77200374,1762145776000,7336649,2241941089000,87142931
2024/12/31 00:00:00,35,PUDUCHERRY,,,,242,101617,19155735000,2777552,101895628000,379639,185833504000,3258808
2025/03/31 00:00:00,19,NAGALAND,,,,217,73170,44033620000,1739278,85031312000,123848,57155235000,1936296
2024/09/30 00:00:00,27,NCT OF DELHI,,,,3929,4758593,1935833637000,143865789,3929855426000,15366524,13405298899000,163990906
2025/06/30 00:00:00,22,CHANDIGARH,,,,465,179412,86696712000,3223718,389058593000,1294344,801297049000,4697474
2025/12/31 00:00:00,5,UTTAR PRADESH,,,,15367,7574944,1197081146000,263216877,7978702687000,26864138,9651983716000,297655959
2024/06/30 00:00:00,12,WEST BENGAL,,,,9006,11200366,758041993000,130349284,3578913455000,22114732,6768700478000,163664382
2024/12/31 00:00:00,16,MANIPUR,,,,230,83597,16870023000,2893934,89524786000,98745,38730680000,3076276
2024/09/30 00:00:00,20,TRIPURA,,,,492,271687,21169480000,3392821,129768384000,473786,141718263000,4138294
