year_end_march,reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2019,2019-03-31,WESTERN REGION,Goa,658,400388,279682383000,188028204000
2019,2019-03-31,WESTERN REGION,Gujarat,7080,7596644,7732089885000,5235361129000
2019,2019-03-31,WESTERN REGION,Maharashtra,11391,41547151,42287455389000,27355863891000
2020,2020-03-31,CENTRAL REGION,Chhattisgarh,2093,2217453,1366687638000,966527039000
2020,2020-03-31,CENTRAL REGION,Madhya Pradesh,5641,9355399,3684282940000,2622438990000
2020,2020-03-31,CENTRAL REGION,Uttar Pradesh,13114,15904239,5972295420000,4225331980000
2020,2020-03-31,CENTRAL REGION,Uttarakhand,1815,1317075,716495544000,522006089000
2020,2020-03-31,EASTERN REGION,Andaman & Nicobar Islands,69,48807,31718266000,23813400000
2020,2020-03-31,EASTERN REGION,Bihar,5148,9903993,1569535378000,1167954850000
2020,2020-03-31,EASTERN REGION,Jharkhand,2625,3825875,895640753000,636029419000
2020,2020-03-31,EASTERN REGION,Odisha,4081,7253754,1761093155000,1268442928000
2020,2020-03-31,EASTERN REGION,Sikkim,160,102013,44836337000,31587149000
2020,2020-03-31,EASTERN REGION,West Bengal,7966,14348369,5836524140000,3968970752000
2020,2020-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,130,97683,55446451000,41156130000
2020,2020-03-31,NORTH-EASTERN REGION,Assam,2389,4711540,906283472000,665818354000
2020,2020-03-31,NORTH-EASTERN REGION,Manipur,172,216015,74860887000,57673136000
2020,2020-03-31,NORTH-EASTERN REGION,Meghalaya,262,223344,99662827000,76178834000
2020,2020-03-31,NORTH-EASTERN REGION,Mizoram,112,94839,34448132000,25512283000
2020,2020-03-31,NORTH-EASTERN REGION,Nagaland,161,164355,62682947000,45617808000
2020,2020-03-31,NORTH-EASTERN REGION,Tripura,409,737881,102780472000,84985144000
2020,2020-03-31,NORTHERN REGION,Chandigarh,392,551633,1168519622000,786899836000
2020,2020-03-31,NORTHERN REGION,Delhi,3555,6265103,20499613295000,13651098536000
2020,2020-03-31,NORTHERN REGION,Haryana,4311,5365664,3935254340000,2504664527000
2020,2020-03-31,NORTHERN REGION,Himachal Pradesh,1346,845151,408967422000,291896536000
2020,2020-03-31,NORTHERN REGION,Jammu & Kashmir,1396,2319046,770775843000,560418545000
2020,2020-03-31,NORTHERN REGION,Ladakh,65,69562,24512601000,17703333000
2020,2020-03-31,NORTHERN REGION,Punjab,6049,5531327,4491327493000,2278926160000
2020,2020-03-31,NORTHERN REGION,Rajasthan,5947,9121408,4338388145000,3129199761000
2020,2020-03-31,SOUTHERN REGION,Andhra Pradesh,5773,11979845,4711607487000,3752337685000
2020,2020-03-31,SOUTHERN REGION,Karnataka,8549,16034297,9742563639000,6590941659000
2020,2020-03-31,SOUTHERN REGION,Kerala,5844,11832389,4440922640000,3364740195000
2020,2020-03-31,SOUTHERN REGION,Lakshadweep,13,4971,1369749000,965768000
2020,2020-03-31,SOUTHERN REGION,Puducherry,214,600588,154496381000,121400135000
2020,2020-03-31,SOUTHERN REGION,Tamil Nadu,10594,35820637,13686542343000,9542766661000
2020,2020-03-31,SOUTHERN REGION,Telangana,4288,8951513,7363092092000,4932959513000
2020,2020-03-31,WESTERN REGION,Dadra & Nagar Haveli and Daman & Diu,109,101785,69460628000,44578753000
2020,2020-03-31,WESTERN REGION,Goa,667,442171,291507676000,192417067000
2020,2020-03-31,WESTERN REGION,Gujarat,7517,9699503,8122731097000,5430388289000
2020,2020-03-31,WESTERN REGION,Maharashtra,12008,51034142,46236833297000,28553256755000
2021,2021-03-31,CENTRAL REGION,Chhattisgarh,2145,2860184,1786011703000,1041364390000
2021,2021-03-31,CENTRAL REGION,Madhya Pradesh,5743,10637955,4270477219000,2942518729000
2021,2021-03-31,CENTRAL REGION,Uttar Pradesh,13230,18056326,6784901829000,4725048698000
2021,2021-03-31,CENTRAL REGION,Uttarakhand,1838,1472045,770333301000,557414332000
2021,2021-03-31,EASTERN REGION,Andaman & Nicobar Islands,69,57035,36964734000,27952096000
2021,2021-03-31,EASTERN REGION,Bihar,5263,10796631,1853125526000,1389273961000
2021,2021-03-31,EASTERN REGION,Jharkhand,2659,4318552,1033582654000,729207850000
2021,2021-03-31,EASTERN REGION,Odisha,4150,8108425,1903625107000,1350706597000
2021,2021-03-31,EASTERN REGION,Sikkim,163,114686,55595833000,37995892000
2021,2021-03-31,EASTERN REGION,West Bengal,8096,16566328,6112041596000,4012276850000
2021,2021-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,132,109693,64739830000,47202966000
2021,2021-03-31,NORTH-EASTERN REGION,Assam,2428,5378910,1038170174000,764667008000
2021,2021-03-31,NORTH-EASTERN REGION,Manipur,178,255299,92013566000,69257856000
2021,2021-03-31,NORTH-EASTERN REGION,Meghalaya,264,243519,122628973000,88769412000
2021,2021-03-31,NORTH-EASTERN REGION,Mizoram,115,106317,40138582000,29884660000
2021,2021-03-31,NORTH-EASTERN REGION,Nagaland,164,187122,74028699000,53991531000
2021,2021-03-31,NORTH-EASTERN REGION,Tripura,420,860733,113815202000,92473363000
2021,2021-03-31,NORTHERN REGION,Chandigarh,384,576544,1193630371000,781528793000
2021,2021-03-31,NORTHERN REGION,Delhi,3510,6369108,20759596218000,13156634217000
2021,2021-03-31,NORTHERN REGION,Haryana,4347,5944910,4463276349000,2768036931000
2021,2021-03-31,NORTHERN REGION,Himachal Pradesh,1361,953588,450368566000,323282784000
2021,2021-03-31,NORTHERN REGION,Jammu & Kashmir,1407,2383985,897458269000,662229396000
2021,2021-03-31,NORTHERN REGION,Ladakh,69,64315,28808657000,21313937000
2021,2021-03-31,NORTHERN REGION,Punjab,5998,6168376,4918693027000,2450586383000
2021,2021-03-31,NORTHERN REGION,Rajasthan,6079,10184102,4825437640000,3441433092000
2021,2021-03-31,SOUTHERN REGION,Andhra Pradesh,5930,13169442,5442234642000,4348882180000
2021,2021-03-31,SOUTHERN REGION,Karnataka,8659,17322557,10739424463000,7141131023000
2021,2021-03-31,SOUTHERN REGION,Kerala,5969,11686495,4719984715000,3603058833000
2021,2021-03-31,SOUTHERN REGION,Lakshadweep,12,5355,1396494000,972256000
2021,2021-03-31,SOUTHERN REGION,Puducherry,217,629170,172647840000,135013082000
2021,2021-03-31,SOUTHERN REGION,Tamil Nadu,10906,37847074,14695304890000,10101223929000
2021,2021-03-31,SOUTHERN REGION,Telangana,4469,10256008,8179237977000,5380794063000
2021,2021-03-31,WESTERN REGION,Dadra & Nagar Haveli and Daman & Diu,104,111737,59969912000,40894123000
2021,2021-03-31,WESTERN REGION,Goa,659,474863,341139785000,210377284000
2021,2021-03-31,WESTERN REGION,Gujarat,7541,10445820,8736836521000,5698046558000
2021,2021-03-31,WESTERN REGION,Maharashtra,12158,56772651,49480389104000,29158966242000
2022,2022-03-31,CENTRAL REGION,Chhattisgarh,2170,2859690,2077185141000,1257165619000
2022,2022-03-31,CENTRAL REGION,Madhya Pradesh,5787,11167181,5180644695000,3292166846000
2022,2022-03-31,CENTRAL REGION,Uttar Pradesh,13158,19021514,7864722510000,5510272597000
2022,2022-03-31,CENTRAL REGION,Uttarakhand,1802,1514188,888366495000,617557516000
2022,2022-03-31,EASTERN REGION,Andaman & Nicobar Islands,68,61020,40813046000,31462971000
2022,2022-03-31,EASTERN REGION,Bihar,5305,11469178,2241678459000,1671048212000
2022,2022-03-31,EASTERN REGION,Jharkhand,2653,4546715,1200301673000,833042417000
2022,2022-03-31,EASTERN REGION,Odisha,4211,8459533,2360062719000,1623698743000
2022,2022-03-31,EASTERN REGION,Sikkim,159,115104,66297174000,48781011000
2022,2022-03-31,EASTERN REGION,West Bengal,8293,15082207,6828645135000,4400850649000
2022,2022-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,133,118293,75726300000,56473434000
2022,2022-03-31,NORTH-EASTERN REGION,Assam,2434,4820670,1272620977000,875596612000
2022,2022-03-31,NORTH-EASTERN REGION,Manipur,186,265209,108345424000,80965808000
2022,2022-03-31,NORTH-EASTERN REGION,Meghalaya,264,240653,122060124000,84694170000
2022,2022-03-31,NORTH-EASTERN REGION,Mizoram,118,101864,45917054000,34340657000
2022,2022-03-31,NORTH-EASTERN REGION,Nagaland,165,188369,85699519000,62205993000
2022,2022-03-31,NORTH-EASTERN REGION,Tripura,420,764151,128174173000,103073605000
2022,2022-03-31,NORTHERN REGION,Chandigarh,380,541374,1331218552000,804759462000
2022,2022-03-31,NORTHERN REGION,Delhi,3459,6573243,22366095362000,13881684266000
2022,2022-03-31,NORTHERN REGION,Haryana,4297,6329300,5199786434000,3250736230000
2022,2022-03-31,NORTHERN REGION,Himachal Pradesh,1353,988494,513152060000,368104535000
2022,2022-03-31,NORTHERN REGION,Jammu & Kashmir,1426,2443379,1031630717000,754820669000
2022,2022-03-31,NORTHERN REGION,Ladakh,74,68175,35600007000,26719032000
2022,2022-03-31,NORTHERN REGION,Punjab,5867,6303778,5678266250000,2676277115000
2022,2022-03-31,NORTHERN REGION,Rajasthan,6159,10926226,5532200629000,3892048119000
2022,2022-03-31,SOUTHERN REGION,Andhra Pradesh,5935,14392242,6165732896000,4931437953000
2022,2022-03-31,SOUTHERN REGION,Karnataka,8573,18304964,11994473046000,7979461328000
2022,2022-03-31,SOUTHERN REGION,Kerala,5882,11533174,5214982673000,3944120393000
2022,2022-03-31,SOUTHERN REGION,Lakshadweep,12,6016,1645756000,1175588000
2022,2022-03-31,SOUTHERN REGION,Puducherry,215,656663,187379560000,146762824000
2022,2022-03-31,SOUTHERN REGION,Tamil Nadu,10942,38123038,16062625975000,11096831736000
2022,2022-03-31,SOUTHERN REGION,Telangana,4479,10945772,8971783466000,5896883931000
2022,2022-03-31,WESTERN REGION,Dadra & Nagar Haveli and Daman & Diu,103,117759,67860301000,47212839000
2022,2022-03-31,WESTERN REGION,Goa,640,480978,349210583000,226054458000
2022,2022-03-31,WESTERN REGION,Gujarat,7538,11335070,9930274377000,6375856221000
2022,2022-03-31,WESTERN REGION,Maharashtra,12164,72371088,55489366170000,31982478300000
2023,2023-03-31,CENTRAL REGION,Chhattisgarh,2260,3091736,2176106493000,1503934311000
2023,2023-03-31,CENTRAL REGION,Madhya Pradesh,5978,11734183,5694969090000,3754566829000
2023,2023-03-31,CENTRAL REGION,Uttar Pradesh,13423,21177443,9091086196000,6441258247000
2023,2023-03-31,CENTRAL REGION,Uttarakhand,1828,1676856,995998324000,698922810000
2023,2023-03-31,EASTERN REGION,Andaman & Nicobar Islands,70,70739,47243549000,36747137000
2023,2023-03-31,EASTERN REGION,Bihar,5467,12949890,2642110596000,1973755904000
2023,2023-03-31,EASTERN REGION,Jharkhand,2724,4963601,1429741396000,991919032000
2023,2023-03-31,EASTERN REGION,Odisha,4376,8934020,2773004369000,1922279310000
2023,2023-03-31,EASTERN REGION,Sikkim,164,123613,77951925000,58036072000
2023,2023-03-31,EASTERN REGION,West Bengal,8477,15954201,7598868453000,4890303749000
2023,2023-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,147,129805,90528076000,69126701000
2023,2023-03-31,NORTH-EASTERN REGION,Assam,2473,4477590,1468923940000,1018918632000
2023,2023-03-31,NORTH-EASTERN REGION,Manipur,200,312948,136499547000,104773222000
2023,2023-03-31,NORTH-EASTERN REGION,Meghalaya,269,252439,144321434000,106524008000
2023,2023-03-31,NORTH-EASTERN REGION,Mizoram,121,111899,54055016000,40219384000
2023,2023-03-31,NORTH-EASTERN REGION,Nagaland,176,199446,102300134000,75749572000
2023,2023-03-31,NORTH-EASTERN REGION,Tripura,433,727859,138561698000,108782872000
2023,2023-03-31,NORTHERN REGION,Chandigarh,387,572289,1250742385000,755872819000
2023,2023-03-31,NORTHERN REGION,Delhi,3524,7270725,25011876372000,14962514732000
2023,2023-03-31,NORTHERN REGION,Haryana,4426,7128432,6061944227000,3975005764000
2023,2023-03-31,NORTHERN REGION,Himachal Pradesh,1398,1043441,588510850000,420649254000
2023,2023-03-31,NORTHERN REGION,Jammu & Kashmir,1486,2646924,1186795534000,866020591000
2023,2023-03-31,NORTHERN REGION,Ladakh,85,75532,44348115000,33047034000
2023,2023-03-31,NORTHERN REGION,Punjab,5950,6728426,5951726970000,2910553242000
2023,2023-03-31,NORTHERN REGION,Rajasthan,6475,11966012,6397123408000,4524589363000
2023,2023-03-31,SOUTHERN REGION,Andhra Pradesh,6123,15940925,7153342936000,5745440818000
2023,2023-03-31,SOUTHERN REGION,Karnataka,8830,19888746,13768131157000,9164948504000
2023,2023-03-31,SOUTHERN REGION,Kerala,6004,12250096,6022516663000,4545907984000
2023,2023-03-31,SOUTHERN REGION,Lakshadweep,13,6808,1929149000,1448379000
2023,2023-03-31,SOUTHERN REGION,Puducherry,218,673567,211578797000,164951835000
2023,2023-03-31,SOUTHERN REGION,Tamil Nadu,11299,39869393,18293727500000,12606939827000
2023,2023-03-31,SOUTHERN REGION,Telangana,4668,12154235,10323014997000,6869261631000
2023,2023-03-31,WESTERN REGION,Dadra & Nagar Haveli and Daman & Diu,103,123391,79522579000,54071938000
2023,2023-03-31,WESTERN REGION,Goa,647,508433,689588196000,255659100000
2023,2023-03-31,WESTERN REGION,Gujarat,7817,12606273,11494436927000,7212700599000
2023,2023-03-31,WESTERN REGION,Maharashtra,12561,93269579,66063792942000,38918789035000
2024,2024-03-31,CENTRAL REGION,Chhattisgarh,2381,3393720,2604613510000,1774130398000
2024,2024-03-31,CENTRAL REGION,Madhya Pradesh,6150,13050471,6582661315000,4485277543000
2024,2024-03-31,CENTRAL REGION,Uttar Pradesh,13884,24262301,11371350031000,7955406663000
2024,2024-03-31,CENTRAL REGION,Uttarakhand,1895,1905531,1212836023000,862399694000
2024,2024-03-31,EASTERN REGION,Andaman & Nicobar Islands,70,78959,54623922000,41098492000
2024,2024-03-31,EASTERN REGION,Bihar,5649,15350386,3175957954000,2381714005000
2024,2024-03-31,EASTERN REGION,Jharkhand,2820,5387084,1713730312000,1191355387000
2024,2024-03-31,EASTERN REGION,Odisha,4556,9799522,3331548354000,2373877806000
2024,2024-03-31,EASTERN REGION,Sikkim,169,127886,88999035000,65196746000
2024,2024-03-31,EASTERN REGION,West Bengal,8640,17615241,9669364679000,5497503074000
