Return Sk,Currency Sk,Stored Unit Sk,Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8,Measure 9,Measure 10,Measure 11,Measure 12,Measure 13,Measure 14,Measure 15,St Flag,Created By,Created Date,Src Name,Report As On Date Sk
258,55,1,2021/03/31 00:00:00,3,MADHYA PRADESH,,,,7248,4509674,283579605000,96708084,1902926622000,11374885,2347213756000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2021/03/31 00:00:00,5,UTTAR PRADESH,,,,18125,10314128,808069085000,247739291,6304842583000,25946149,5665867772000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2019/03/31 00:00:00,8,BIHAR,,,,6917,4953537,208793490000,111066691,2071705241000,9846252,1251189417000,125866480,3531688148000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2020/03/31 00:00:00,19,NAGALAND,,,,176,44845,26936882000,1425419,54098226000,101003,41387305000,1571267,122422413000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2024/03/31 00:00:00,20,TRIPURA,,,,634,508559,25367762000,5020485,170352080000,558396,175370439000,6087440,371090281000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2023/03/31 00:00:00,26,LADAKH,,,,90,69185,14151723000,473546,39789946000,70999,28545618000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2022/03/31 00:00:00,31,ANDHRA PRADESH,,,,7446,2517145,275807045000,87551348,1687387263000,8438727,1895615693000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2025/03/31 00:00:00,8,BIHAR,,,,8226,4002717,315092129000,149758549,3219869193000,8964896,2152300266000,162726162,5687261588000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2024/03/31 00:00:00,5,UTTAR PRADESH,,,,18883,22280011,1160302011000,319463153,8073201183000,27372347,8224564284000,369115511,17458067478000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2024/03/31 00:00:00,24,HIMACHAL PRADESH,,,,1774,1726598,53763974000,11488652,510888183000,3576785,938692035000,16792035,1503344192000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2023/03/31 00:00:00,33,KERALA,,,,6921,3646501,377790130000,76450733,2292644251000,10745962,4569694018000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2021/03/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,72,24867,5958876000,468910,29621305000,89603,24852987000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2021/03/31 00:00:00,38,WESTERN REGION,,,,23021,18419509,5538967989000,262915694,10404575925000,51281329,24962717540000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2022/03/31 00:00:00,18,MIZORAM,,,,220,30530,11326785000,1489217,71338387000,67700,48351532000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2026/03/31 00:00:00,26,LADAKH,,,,104,92777,19539784000,503947,43013395000,94560,46949220000,691284,109502399000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2025/03/31 00:00:00,23,HARYANA,,,,5683,2141681,821047835000,109331085,2602142728000,9346286,5464525099000,120819052,8887715662000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2019/03/31 00:00:00,42,GOA,,,,697,182026,32356595000,3842982,189500388000,1757587,489496107000,5782595,711353090000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2021/03/31 00:00:00,26,LADAKH,,,,75,47514,10377144000,445680,28905695000,69535,22331502000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2024/03/31 00:00:00,8,BIHAR,,,,7979,10649861,322678128000,140369320,3031416256000,8746495,1888416121000,159765676,5242510505000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2022/03/31 00:00:00,4,UTTARAKHAND,,,,2176,1572259,95626247000,16712841,771480306000,3597522,940735298000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2023/03/31 00:00:00,4,UTTARAKHAND,,,,2202,1729953,103100810000,17576076,836725548000,3830803,1064420376000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2022/03/31 00:00:00,12,WEST BENGAL,,,,9616,10949129,805268282000,138735442,3556703090000,22733717,5419881435000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2023/03/31 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,103,78832,16772523000,1460260,63202697000,196747,61906501000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2020/03/31 00:00:00,43,GUJARAT,,,,8626,3504685,639790513000,81622849,2424356814000,18027776,4324975165000,103155310,7389122492000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2024/03/31 00:00:00,12,WEST BENGAL,,,,9948,17870606,874949787000,146185287,3808998452000,22889391,6750676971000,186945284,11434625210000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2025/03/31 00:00:00,35,PUDUCHERRY,,,,288,103705,20047144000,3000370,106043923000,423801,203183010000,3527876,329274077000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2021/03/31 00:00:00,45,ALL-INDIA,,,,154485,91686178,15410047215000,1768219892,52689124133000,256619777,86335928303000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2026/03/31 00:00:00,1,CENTRAL REGION,,,,33605,14187186,2192798817000,519246479,14536083096000,49461031,17780548472000,582894696,34509430385000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2021/03/31 00:00:00,15,ASSAM,,,,3020,1997509,135008374000,42127956,866859681000,3849811,728267618000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2023/03/31 00:00:00,9,JHARKHAND,,,,3298,2539124,187099581000,47352659,1293537033000,4898017,1559803568000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2019/03/31 00:00:00,13,NORTH EASTERN REGION,,,,3916,1487496,270300236000,49903891,1151531767000,5023862,1008750738000,56415249,2430582741000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2022/03/31 00:00:00,11,SIKKIM,,,,165,55734,10703953000,978559,49451877000,118463,63949900000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
