reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2015-03-31,EASTERN REGION,Andaman & Nicobar Islands,58,39193,14984679000,11821160000
2015-03-31,EASTERN REGION,Bihar,3945,3503898,855992419000,612721983000
2015-03-31,EASTERN REGION,Jharkhand,2193,1755849,528827129000,401710217000
2015-03-31,EASTERN REGION,Odisha,3237,2702759,984139028000,727337288000
2015-03-31,EASTERN REGION,Sikkim,117,40322,20408292000,14651160000
2015-03-31,EASTERN REGION,West Bengal,5955,3838574,4604511117000,3123964002000
2015-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,98,74553,27867940000,20456096000
2015-03-31,NORTH-EASTERN REGION,Assam,1545,1663902,419579832000,315681256000
2015-03-31,NORTH-EASTERN REGION,Manipur,112,97167,25902404000,18768667000
2015-03-31,NORTH-EASTERN REGION,Meghalaya,219,151912,50097928000,37472110000
2015-03-31,NORTH-EASTERN REGION,Mizoram,75,56641,17410903000,12919225000
2015-03-31,NORTH-EASTERN REGION,Nagaland,127,112074,30084537000,22486763000
2015-03-31,NORTH-EASTERN REGION,Tripura,235,207875,50214250000,35940354000
2015-03-31,NORTHERN REGION,Chandigarh,355,200453,954013491000,586988448000
2015-03-31,NORTHERN REGION,Delhi,3147,2498679,13731889879000,9073472179000
2015-03-31,NORTHERN REGION,Haryana,3524,2104756,2752520546000,1625714808000
2015-03-31,NORTHERN REGION,Himachal Pradesh,1220,588965,257949969000,200875692000
2015-03-31,NORTHERN REGION,Jammu & Kashmir,1260,1005392,399349739000,297000229000
2015-03-31,NORTHERN REGION,Punjab,5287,2669477,3694546992000,1921786359000
2015-03-31,NORTHERN REGION,Rajasthan,4770,4202241,2533288158000,1912098593000
2015-03-31,SOUTHERN REGION,Andhra Pradesh,4948,9388866,3325976551000,1831074489000
2015-03-31,SOUTHERN REGION,Karnataka,7210,7672902,6266211345000,4074320335000
2015-03-31,SOUTHERN REGION,Kerala,5316,7446208,2591168769000,2016947478000
2015-03-31,SOUTHERN REGION,Lakshadweep,12,5782,969990000,693053000
2015-03-31,SOUTHERN REGION,Puducherry,179,332706,91900308000,75344581000
2015-03-31,SOUTHERN REGION,Tamil Nadu,8825,26898435,9448693278000,6431054912000
2015-03-31,SOUTHERN REGION,Telangana,3639,5296024,5756405698000,3226233854000
2015-03-31,WESTERN REGION,Dadra & Nagar Haveli,52,21313,12424835000,9582246000
2015-03-31,WESTERN REGION,Daman & Diu,46,12199,11070468000,8101234000
2015-03-31,WESTERN REGION,Goa,615,286281,190963750000,137474500000
2015-03-31,WESTERN REGION,Gujarat,6104,3943207,4938593372000,3427545496000
2015-03-31,WESTERN REGION,Maharashtra,10191,18897526,30932742912000,19713950310000
2015-06-30,CENTRAL REGION,Chhattisgarh,1561,898407,835539762000,597250742000
2015-06-30,CENTRAL REGION,Madhya Pradesh,4503,4455113,2129951826000,1481290091000
2015-06-30,CENTRAL REGION,Uttar Pradesh,11259,8674836,3666889162000,2735688975000
2015-06-30,CENTRAL REGION,Uttarakhand,1558,839997,384049112000,288968714000
2015-06-30,EASTERN REGION,Andaman & Nicobar Islands,59,38777,15277802000,11995606000
2015-06-30,EASTERN REGION,Bihar,4000,3577161,783233223000,624989561000
2015-06-30,EASTERN REGION,Jharkhand,2208,1768529,533452415000,398652993000
2015-06-30,EASTERN REGION,Odisha,3291,2775899,939778813000,688728927000
2015-06-30,EASTERN REGION,Sikkim,119,42583,21092652000,15073410000
2015-06-30,EASTERN REGION,West Bengal,6056,4106361,4580321363000,3059500623000
2015-06-30,NORTH-EASTERN REGION,Arunachal Pradesh,101,73180,28216537000,20634599000
2015-06-30,NORTH-EASTERN REGION,Assam,1570,1693900,429808118000,318475985000
2015-06-30,NORTH-EASTERN REGION,Manipur,116,98000,26912724000,19429938000
2015-06-30,NORTH-EASTERN REGION,Meghalaya,219,154709,52389918000,36726583000
2015-06-30,NORTH-EASTERN REGION,Mizoram,75,56477,17739922000,12997611000
2015-06-30,NORTH-EASTERN REGION,Nagaland,131,112216,30906641000,22655359000
2015-06-30,NORTH-EASTERN REGION,Tripura,237,207536,49641610000,35965938000
2015-06-30,NORTHERN REGION,Chandigarh,363,233355,934260154000,601680478000
2015-06-30,NORTHERN REGION,Delhi,3184,3156677,13286405285000,8719085294000
2015-06-30,NORTHERN REGION,Haryana,3603,2444645,2886479938000,1651012347000
2015-06-30,NORTHERN REGION,Himachal Pradesh,1240,615967,262934726000,200644830000
2015-06-30,NORTHERN REGION,Jammu & Kashmir,1296,1056980,412989436000,307641497000
2015-06-30,NORTHERN REGION,Punjab,5404,2886360,3966351409000,1898979915000
2015-06-30,NORTHERN REGION,Rajasthan,4856,4420733,2586155519000,1939922415000
2015-06-30,SOUTHERN REGION,Andhra Pradesh,5039,9146109,3363312116000,1836001617000
2015-06-30,SOUTHERN REGION,Karnataka,7378,8519583,6198473848000,4086037189000
2015-06-30,SOUTHERN REGION,Kerala,5368,7350517,2627436487000,2019449132000
2015-06-30,SOUTHERN REGION,Lakshadweep,12,5553,988308000,707806000
2015-06-30,SOUTHERN REGION,Puducherry,183,339081,94718373000,76261515000
2015-06-30,SOUTHERN REGION,Tamil Nadu,8948,21937039,8766616495000,6223491278000
2015-06-30,SOUTHERN REGION,Telangana,3721,5740134,5692173648000,3298205884000
2015-06-30,WESTERN REGION,Dadra & Nagar Haveli,52,28854,13845925000,10034610000
2015-06-30,WESTERN REGION,Daman & Diu,45,19460,11916851000,8351740000
2015-06-30,WESTERN REGION,Goa,636,313829,193523711000,138965513000
2015-06-30,WESTERN REGION,Gujarat,6232,4408998,5129024487000,3489045130000
2015-06-30,WESTERN REGION,Maharashtra,10339,20846290,31154880108000,19406752960000
2015-09-30,CENTRAL REGION,Chhattisgarh,1589,955478,860851825000,612365532000
2015-09-30,CENTRAL REGION,Madhya Pradesh,4560,4622266,2328951638000,1532916181000
2015-09-30,CENTRAL REGION,Uttar Pradesh,11386,8983073,3852194103000,2826075803000
2015-09-30,CENTRAL REGION,Uttarakhand,1580,845523,393701183000,299380439000
2015-09-30,EASTERN REGION,Andaman & Nicobar Islands,58,39428,16314387000,12734584000
2015-09-30,EASTERN REGION,Bihar,4037,3695463,927847383000,631842129000
2015-09-30,EASTERN REGION,Jharkhand,2240,1835684,580652107000,413357456000
2015-09-30,EASTERN REGION,Odisha,3333,2907791,1020466848000,701291014000
2015-09-30,EASTERN REGION,Sikkim,121,45051,23204836000,16089361000
2015-09-30,EASTERN REGION,West Bengal,6116,4264053,4773726699000,3143824141000
2015-09-30,NORTH-EASTERN REGION,Arunachal Pradesh,102,73427,29222607000,21851450000
2015-09-30,NORTH-EASTERN REGION,Assam,1595,1747479,446690812000,330178478000
2015-09-30,NORTH-EASTERN REGION,Manipur,118,100768,29341727000,20593024000
2015-09-30,NORTH-EASTERN REGION,Meghalaya,222,156092,54522450000,37830488000
2015-09-30,NORTH-EASTERN REGION,Mizoram,79,58032,19063621000,13458391000
2015-09-30,NORTH-EASTERN REGION,Nagaland,134,114663,35617364000,23800792000
2015-09-30,NORTH-EASTERN REGION,Tripura,242,217607,50814376000,35916097000
2015-09-30,NORTHERN REGION,Chandigarh,365,237390,1060237465000,623908213000
2015-09-30,NORTHERN REGION,Delhi,3218,3275116,13201367580000,8699207779000
2015-09-30,NORTHERN REGION,Haryana,3641,2494648,2847384464000,1621237512000
2015-09-30,NORTHERN REGION,Himachal Pradesh,1245,621135,266849160000,205517746000
2015-09-30,NORTHERN REGION,Jammu & Kashmir,1306,1101681,426342448000,320495053000
2015-09-30,NORTHERN REGION,Punjab,5449,3045156,4033943018000,1929522805000
2015-09-30,NORTHERN REGION,Rajasthan,4933,4543246,2706221939000,2003711970000
2015-09-30,SOUTHERN REGION,Andhra Pradesh,5104,9335880,2443597836000,1883221816000
2015-09-30,SOUTHERN REGION,Karnataka,7458,8912613,6369142461000,4162430530000
2015-09-30,SOUTHERN REGION,Kerala,5399,7304541,2720607710000,2075832853000
2015-09-30,SOUTHERN REGION,Lakshadweep,12,5649,1017528000,723242000
2015-09-30,SOUTHERN REGION,Puducherry,188,342713,131082042000,77634629000
2015-09-30,SOUTHERN REGION,Tamil Nadu,9070,22115389,8979191838000,6355017900000
2015-09-30,SOUTHERN REGION,Telangana,3791,5966231,6248596742000,3357741544000
2015-09-30,WESTERN REGION,Dadra & Nagar Haveli,52,30668,16299025000,11498869000
2015-09-30,WESTERN REGION,Daman & Diu,46,20548,12503770000,8673364000
2015-09-30,WESTERN REGION,Goa,638,325345,201848076000,143543219000
2015-09-30,WESTERN REGION,Gujarat,6295,4627154,5305114103000,3549389221000
2015-09-30,WESTERN REGION,Maharashtra,10417,21964907,32239476276000,19678297997000
2015-12-31,CENTRAL REGION,Chhattisgarh,1655,1092483,849332885000,629749664000
2015-12-31,CENTRAL REGION,Madhya Pradesh,4625,4928849,2163646816000,1585340170000
2015-12-31,CENTRAL REGION,Uttar Pradesh,11577,9132215,3867039425000,2944455551000
2015-12-31,CENTRAL REGION,Uttarakhand,1602,925069,401999978000,308914881000
2015-12-31,EASTERN REGION,Andaman & Nicobar Islands,60,40124,17367125000,13535956000
2015-12-31,EASTERN REGION,Bihar,4165,4538382,983366560000,634759879000
2015-12-31,EASTERN REGION,Jharkhand,2276,1975422,555022536000,425904316000
2015-12-31,EASTERN REGION,Odisha,3404,3113362,987467808000,723786225000
2015-12-31,EASTERN REGION,Sikkim,121,55927,23190290000,16510231000
2015-12-31,EASTERN REGION,West Bengal,6365,6848880,4645598260000,3214902918000
2015-12-31,NORTH-EASTERN REGION,Arunachal Pradesh,105,75403,30379859000,23077786000
2015-12-31,NORTH-EASTERN REGION,Assam,1665,2740202,481601992000,362102893000
2015-12-31,NORTH-EASTERN REGION,Manipur,120,105094,30171195000,22386316000
2015-12-31,NORTH-EASTERN REGION,Meghalaya,225,173848,52161467000,37707812000
2015-12-31,NORTH-EASTERN REGION,Mizoram,83,62260,18934964000,14035019000
2015-12-31,NORTH-EASTERN REGION,Nagaland,134,119666,33942021000,25104045000
2015-12-31,NORTH-EASTERN REGION,Tripura,266,491497,53612633000,40746314000
