march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source
2011,West Bengal,19,56463.0,314221.7,IDP bank-group wise deposits (RBI BSR-2)
2012,Andaman and Nicobar Islands,35,366.0,2011.6,IDP bank-group wise deposits (RBI BSR-2)
2012,Andhra Pradesh,28,45971.0,121781.3,IDP bank-group wise deposits (RBI BSR-2)
2012,Arunachal Pradesh,12,727.0,5752.599999999999,IDP bank-group wise deposits (RBI BSR-2)
2012,Assam,18,16631.0,66570.7,IDP bank-group wise deposits (RBI BSR-2)
2012,Bihar,10,40073.0,139350.0,IDP bank-group wise deposits (RBI BSR-2)
2012,Chandigarh,4,2593.0,39383.9,IDP bank-group wise deposits (RBI BSR-2)
2012,Chhattisgarh,22,12661.0,68291.7,IDP bank-group wise deposits (RBI BSR-2)
2012,Delhi,7,30318.0,684133.3,IDP bank-group wise deposits (RBI BSR-2)
2012,Goa,30,3869.0,36475.9,IDP bank-group wise deposits (RBI BSR-2)
2012,Gujarat,24,47453.0,303091.2,IDP bank-group wise deposits (RBI BSR-2)
2012,Haryana,6,23581.0,145843.6,IDP bank-group wise deposits (RBI BSR-2)
2012,Himachal Pradesh,2,7442.0,37996.0,IDP bank-group wise deposits (RBI BSR-2)
2012,Jammu and Kashmir,1,10146.0,50027.3,IDP bank-group wise deposits (RBI BSR-2)
2012,Jharkhand,20,17957.0,87938.8,IDP bank-group wise deposits (RBI BSR-2)
2012,Karnataka,29,59908.0,410074.9,IDP bank-group wise deposits (RBI BSR-2)
2012,Kerala,32,36109.0,200560.1,IDP bank-group wise deposits (RBI BSR-2)
2012,Lakshadweep,31,64.0,565.3000000000001,IDP bank-group wise deposits (RBI BSR-2)
2012,Madhya Pradesh,23,40580.0,166866.2,IDP bank-group wise deposits (RBI BSR-2)
2012,Maharashtra,27,100366.0,1529867.1,IDP bank-group wise deposits (RBI BSR-2)
2012,Manipur,14,775.0,4070.7,IDP bank-group wise deposits (RBI BSR-2)
2012,Meghalaya,17,1391.0,11053.7,IDP bank-group wise deposits (RBI BSR-2)
2012,Mizoram,15,490.0,3355.9,IDP bank-group wise deposits (RBI BSR-2)
2012,Nagaland,13,715.0,5741.8,IDP bank-group wise deposits (RBI BSR-2)
2012,Odisha,21,26530.0,124468.3,IDP bank-group wise deposits (RBI BSR-2)
2012,Puducherry,34,1517.0,7711.9,IDP bank-group wise deposits (RBI BSR-2)
2012,Punjab,3,32420.0,172901.6,IDP bank-group wise deposits (RBI BSR-2)
2012,Rajasthan,8,36020.0,150631.4,IDP bank-group wise deposits (RBI BSR-2)
2012,Sikkim,11,442.0,4010.3,IDP bank-group wise deposits (RBI BSR-2)
2012,Tamil Nadu,33,69557.0,398920.2,IDP bank-group wise deposits (RBI BSR-2)
2012,Telangana,36,33158.0,223394.9,IDP bank-group wise deposits (RBI BSR-2)
2012,The Dadra and Nagar Haveli and Daman and Diu,38,637.0,3645.2,IDP bank-group wise deposits (RBI BSR-2)
2012,Tripura,16,2371.0,10410.1,IDP bank-group wise deposits (RBI BSR-2)
2012,Uttar Pradesh,9,127197.0,431036.5,IDP bank-group wise deposits (RBI BSR-2)
2012,Uttarakhand,5,9527.0,56365.200000000004,IDP bank-group wise deposits (RBI BSR-2)
2012,West Bengal,19,63645.0,373945.0,IDP bank-group wise deposits (RBI BSR-2)
2013,Andaman and Nicobar Islands,35,405.0,2328.6,IDP bank-group wise deposits (RBI BSR-2)
2013,Andhra Pradesh,28,56092.0,140816.5,IDP bank-group wise deposits (RBI BSR-2)
2013,Arunachal Pradesh,12,749.0,7011.6,IDP bank-group wise deposits (RBI BSR-2)
2013,Assam,18,18523.0,76680.6,IDP bank-group wise deposits (RBI BSR-2)
2013,Bihar,10,46564.0,163490.8,IDP bank-group wise deposits (RBI BSR-2)
2013,Chandigarh,4,2899.0,45391.8,IDP bank-group wise deposits (RBI BSR-2)
2013,Chhattisgarh,22,14593.0,82869.6,IDP bank-group wise deposits (RBI BSR-2)
2013,Delhi,7,33740.0,752186.5,IDP bank-group wise deposits (RBI BSR-2)
2013,Goa,30,4400.0,39780.6,IDP bank-group wise deposits (RBI BSR-2)
2013,Gujarat,24,53779.0,358771.3,IDP bank-group wise deposits (RBI BSR-2)
2013,Haryana,6,26782.0,169392.9,IDP bank-group wise deposits (RBI BSR-2)
2013,Himachal Pradesh,2,8267.0,45018.2,IDP bank-group wise deposits (RBI BSR-2)
2013,Jammu and Kashmir,1,11420.0,59379.8,IDP bank-group wise deposits (RBI BSR-2)
2013,Jharkhand,20,20794.0,104079.1,IDP bank-group wise deposits (RBI BSR-2)
2013,Karnataka,29,70028.0,462223.3,IDP bank-group wise deposits (RBI BSR-2)
2013,Kerala,32,43351.0,236698.3,IDP bank-group wise deposits (RBI BSR-2)
2013,Lakshadweep,31,73.0,618.4,IDP bank-group wise deposits (RBI BSR-2)
2013,Madhya Pradesh,23,45553.0,198620.7,IDP bank-group wise deposits (RBI BSR-2)
2013,Maharashtra,27,117322.0,1778883.1,IDP bank-group wise deposits (RBI BSR-2)
2013,Manipur,14,1016.0,5135.8,IDP bank-group wise deposits (RBI BSR-2)
2013,Meghalaya,17,1569.0,13653.0,IDP bank-group wise deposits (RBI BSR-2)
2013,Mizoram,15,603.0,4147.7,IDP bank-group wise deposits (RBI BSR-2)
2013,Nagaland,13,797.0,6343.7,IDP bank-group wise deposits (RBI BSR-2)
2013,Odisha,21,33480.0,142761.5,IDP bank-group wise deposits (RBI BSR-2)
2013,Puducherry,34,1735.0,8231.4,IDP bank-group wise deposits (RBI BSR-2)
2013,Punjab,3,36506.0,199810.4,IDP bank-group wise deposits (RBI BSR-2)
2013,Rajasthan,8,40886.0,176271.1,IDP bank-group wise deposits (RBI BSR-2)
2013,Sikkim,11,541.0,4941.5,IDP bank-group wise deposits (RBI BSR-2)
2013,Tamil Nadu,33,81271.0,445525.7,IDP bank-group wise deposits (RBI BSR-2)
2013,Telangana,36,39239.0,252623.7,IDP bank-group wise deposits (RBI BSR-2)
2013,The Dadra and Nagar Haveli and Daman and Diu,38,754.0,4507.7,IDP bank-group wise deposits (RBI BSR-2)
2013,Tripura,16,2764.0,11800.7,IDP bank-group wise deposits (RBI BSR-2)
2013,Uttar Pradesh,9,146140.0,511133.4,IDP bank-group wise deposits (RBI BSR-2)
2013,Uttarakhand,5,10762.0,65916.4,IDP bank-group wise deposits (RBI BSR-2)
2013,West Bengal,19,71737.0,435573.0,IDP bank-group wise deposits (RBI BSR-2)
2014,Andaman and Nicobar Islands,35,440.0,2590.4,IDP bank-group wise deposits (RBI BSR-2)
2014,Andhra Pradesh,28,68188.0,161108.3,IDP bank-group wise deposits (RBI BSR-2)
2014,Arunachal Pradesh,12,859.0,7525.0,IDP bank-group wise deposits (RBI BSR-2)
2014,Assam,18,21659.0,83839.4,IDP bank-group wise deposits (RBI BSR-2)
2014,Bihar,10,54656.0,190434.2,IDP bank-group wise deposits (RBI BSR-2)
2014,Chandigarh,4,3173.0,48262.100000000006,IDP bank-group wise deposits (RBI BSR-2)
2014,Chhattisgarh,22,17369.0,88499.1,IDP bank-group wise deposits (RBI BSR-2)
2014,Delhi,7,37101.0,814664.5,IDP bank-group wise deposits (RBI BSR-2)
2014,Goa,30,4832.0,45125.5,IDP bank-group wise deposits (RBI BSR-2)
2014,Gujarat,24,64689.0,414790.39999999997,IDP bank-group wise deposits (RBI BSR-2)
2014,Haryana,6,31334.0,193314.3,IDP bank-group wise deposits (RBI BSR-2)
2014,Himachal Pradesh,2,9333.0,51992.8,IDP bank-group wise deposits (RBI BSR-2)
2014,Jammu and Kashmir,1,12879.0,66557.4,IDP bank-group wise deposits (RBI BSR-2)
2014,Jharkhand,20,24693.0,120341.3,IDP bank-group wise deposits (RBI BSR-2)
2014,Karnataka,29,81076.0,536908.7,IDP bank-group wise deposits (RBI BSR-2)
2014,Kerala,32,52617.0,281593.0,IDP bank-group wise deposits (RBI BSR-2)
2014,Lakshadweep,31,81.0,710.5999999999999,IDP bank-group wise deposits (RBI BSR-2)
2014,Madhya Pradesh,23,57111.0,224909.6,IDP bank-group wise deposits (RBI BSR-2)
2014,Maharashtra,27,136072.0,2028845.2,IDP bank-group wise deposits (RBI BSR-2)
2014,Manipur,14,1293.0,5062.3,IDP bank-group wise deposits (RBI BSR-2)
2014,Meghalaya,17,1752.0,14582.599999999999,IDP bank-group wise deposits (RBI BSR-2)
2014,Mizoram,15,741.0,4714.3,IDP bank-group wise deposits (RBI BSR-2)
2014,Nagaland,13,858.0,6544.4,IDP bank-group wise deposits (RBI BSR-2)
2014,Odisha,21,35469.0,164628.6,IDP bank-group wise deposits (RBI BSR-2)
2014,Puducherry,34,2064.0,9393.6,IDP bank-group wise deposits (RBI BSR-2)
2014,Punjab,3,40729.0,230020.4,IDP bank-group wise deposits (RBI BSR-2)
2014,Rajasthan,8,47719.0,201257.1,IDP bank-group wise deposits (RBI BSR-2)
2014,Sikkim,11,627.0,5152.0,IDP bank-group wise deposits (RBI BSR-2)
2014,Tamil Nadu,33,98244.0,499973.9,IDP bank-group wise deposits (RBI BSR-2)
2014,Telangana,36,49142.0,279889.8,IDP bank-group wise deposits (RBI BSR-2)
2014,The Dadra and Nagar Haveli and Daman and Diu,38,897.0,5220.7,IDP bank-group wise deposits (RBI BSR-2)
2014,Tripura,16,3699.0,13467.4,IDP bank-group wise deposits (RBI BSR-2)
2014,Uttar Pradesh,9,168725.0,597678.4,IDP bank-group wise deposits (RBI BSR-2)
2014,Uttarakhand,5,12145.0,76008.8,IDP bank-group wise deposits (RBI BSR-2)
2014,West Bengal,19,84484.0,480109.0,IDP bank-group wise deposits (RBI BSR-2)
2015,Andaman and Nicobar Islands,35,523.0,2948.6,IDP bank-group wise deposits (RBI BSR-2)
2015,Andhra Pradesh,28,78451.0,188628.1,IDP bank-group wise deposits (RBI BSR-2)
2015,Arunachal Pradesh,12,1060.0,8008.6,IDP bank-group wise deposits (RBI BSR-2)
2015,Assam,18,27150.0,97381.9,IDP bank-group wise deposits (RBI BSR-2)
2015,Bihar,10,66634.0,216810.2,IDP bank-group wise deposits (RBI BSR-2)
2015,Chandigarh,4,3477.0,55433.1,IDP bank-group wise deposits (RBI BSR-2)
2015,Chhattisgarh,22,24701.0,99165.5,IDP bank-group wise deposits (RBI BSR-2)
2015,Delhi,7,41271.0,884383.3,IDP bank-group wise deposits (RBI BSR-2)
2015,Goa,30,5197.0,51544.2,IDP bank-group wise deposits (RBI BSR-2)
2015,Gujarat,24,75386.0,477758.6,IDP bank-group wise deposits (RBI BSR-2)
2015,Haryana,6,36329.0,222684.7,IDP bank-group wise deposits (RBI BSR-2)
2015,Himachal Pradesh,2,10497.0,59876.5,IDP bank-group wise deposits (RBI BSR-2)
2015,Jammu and Kashmir,1,15395.0,73720.1,IDP bank-group wise deposits (RBI BSR-2)
2015,Jharkhand,20,29200.0,142111.4,IDP bank-group wise deposits (RBI BSR-2)
2015,Karnataka,29,96769.0,634291.7,IDP bank-group wise deposits (RBI BSR-2)
2015,Kerala,32,57584.0,328399.0,IDP bank-group wise deposits (RBI BSR-2)
2015,Lakshadweep,31,87.0,761.6,IDP bank-group wise deposits (RBI BSR-2)
2015,Madhya Pradesh,23,70968.0,279341.1,IDP bank-group wise deposits (RBI BSR-2)
2015,Maharashtra,27,154375.0,2150009.6999999997,IDP bank-group wise deposits (RBI BSR-2)
2015,Manipur,14,1799.0,5730.0,IDP bank-group wise deposits (RBI BSR-2)
2015,Meghalaya,17,2033.0,16644.2,IDP bank-group wise deposits (RBI BSR-2)
2015,Mizoram,15,893.0,5315.2,IDP bank-group wise deposits (RBI BSR-2)
2015,Nagaland,13,1062.0,6938.5,IDP bank-group wise deposits (RBI BSR-2)
2015,Odisha,21,43451.0,190073.7,IDP bank-group wise deposits (RBI BSR-2)
2015,Puducherry,34,2285.0,11064.0,IDP bank-group wise deposits (RBI BSR-2)
2015,Punjab,3,45964.0,261972.2,IDP bank-group wise deposits (RBI BSR-2)
2015,Rajasthan,8,58874.0,235479.3,IDP bank-group wise deposits (RBI BSR-2)
2015,Sikkim,11,729.0,5714.4,IDP bank-group wise deposits (RBI BSR-2)
2015,Tamil Nadu,33,111615.0,545317.2999999999,IDP bank-group wise deposits (RBI BSR-2)
2015,Telangana,36,56868.0,328237.2,IDP bank-group wise deposits (RBI BSR-2)
2015,The Dadra and Nagar Haveli and Daman and Diu,38,1056.0,6051.2,IDP bank-group wise deposits (RBI BSR-2)
2015,Tripura,16,4428.0,15462.7,IDP bank-group wise deposits (RBI BSR-2)
2015,Uttar Pradesh,9,197035.0,672528.7,IDP bank-group wise deposits (RBI BSR-2)
2015,Uttarakhand,5,14380.0,88633.0,IDP bank-group wise deposits (RBI BSR-2)
2015,West Bengal,19,102391.0,553692.0,IDP bank-group wise deposits (RBI BSR-2)
2016,Andaman and Nicobar Islands,35,555.0,3232.1,IDP bank-group wise deposits (RBI BSR-2)
