march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source,no_of_offices
2019,Tamil Nadu,33,141077.0,798738.0,IDP population-group wise deposits (RBI BSR-2),11206.0
2019,Telangana,36,68038.0,458433.0,IDP population-group wise deposits (RBI BSR-2),5223.0
2019,The Dadra and Nagar Haveli and Daman and Diu,38,1439.0,8842.0,IDP population-group wise deposits (RBI BSR-2),103.0
2019,Tripura,16,5367.0,24847.0,IDP population-group wise deposits (RBI BSR-2),462.0
2019,Uttar Pradesh,9,270245.0,1041507.0,IDP population-group wise deposits (RBI BSR-2),17462.0
2019,Uttarakhand,5,19459.0,137042.0,IDP population-group wise deposits (RBI BSR-2),2126.0
2019,West Bengal,19,147359.0,779133.0,IDP population-group wise deposits (RBI BSR-2),8169.0
2020,Andaman and Nicobar Islands,35,589.0,5652.0,IDP population-group wise deposits (RBI BSR-2),68.0
2020,Andhra Pradesh,28,92231.0,324873.0,IDP population-group wise deposits (RBI BSR-2),7252.0
2020,Arunachal Pradesh,12,1255.0,14828.0,IDP population-group wise deposits (RBI BSR-2),134.0
2020,Assam,18,44200.0,164301.0,IDP population-group wise deposits (RBI BSR-2),2957.0
2020,Bihar,10,134964.0,375708.0,IDP population-group wise deposits (RBI BSR-2),7463.0
2020,Chandigarh,4,4355.0,72552.0,IDP population-group wise deposits (RBI BSR-2),454.0
2020,Chhattisgarh,22,40993.0,160538.0,IDP population-group wise deposits (RBI BSR-2),2823.0
2020,Delhi,7,53032.0,1230161.0,IDP population-group wise deposits (RBI BSR-2),3811.0
2020,Goa,30,5975.0,76532.0,IDP population-group wise deposits (RBI BSR-2),697.0
2020,Gujarat,24,103154.0,738912.0,IDP population-group wise deposits (RBI BSR-2),8626.0
2020,Haryana,6,54166.0,475353.0,IDP population-group wise deposits (RBI BSR-2),5224.0
2020,Himachal Pradesh,2,14096.0,103542.0,IDP population-group wise deposits (RBI BSR-2),1652.0
2020,Jammu and Kashmir,1,21606.0,127985.0,IDP population-group wise deposits (RBI BSR-2),1765.0
2020,Jharkhand,20,47960.0,234105.0,IDP population-group wise deposits (RBI BSR-2),3169.0
2020,Karnataka,29,132966.0,1061239.0,IDP population-group wise deposits (RBI BSR-2),10778.0
2020,Kerala,32,76362.0,545005.0,IDP population-group wise deposits (RBI BSR-2),6800.0
2020,Ladakh,37,541.0,4955.0,IDP population-group wise deposits (RBI BSR-2),68.0
2020,Lakshadweep,31,102.0,1115.0,IDP population-group wise deposits (RBI BSR-2),13.0
2020,Madhya Pradesh,23,110580.0,396781.0,IDP population-group wise deposits (RBI BSR-2),7234.0
2020,Maharashtra,27,211187.0,2807754.0,IDP population-group wise deposits (RBI BSR-2),13578.0
2020,Manipur,14,2690.0,10018.0,IDP population-group wise deposits (RBI BSR-2),182.0
2020,Meghalaya,17,2932.0,23519.0,IDP population-group wise deposits (RBI BSR-2),358.0
