dependent,dv_label,column,regressor,coef,se,t,p,ci_lo,ci_hi,N,r2_within
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(1) UPI only,c_upi,0.43898379938410786,0.11111709503446879,3.9506414314371163,0.0001299780352634894,0.21905194256749172,0.658915656200724,165,0.516808655088365
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(1) UPI only,branches_per_lakh_adults,0.00906969876565652,0.0052245302570061766,1.7359835850302354,0.08505066044295129,-0.0012711100906362578,0.019410507621949298,165,0.516808655088365
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(1) UPI only,atms_per_lakh_adults,-0.0006977548121623243,0.002414754370017094,-0.28895477768920447,0.7730985021005083,-0.005477230123221842,0.004081720498897193,165,0.516808655088365
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(1) UPI only,ln_nsdp_pc,0.041249962806104115,0.028433282281859724,1.4507633131198983,0.1493707758186782,-0.015027467464193957,0.09752739307640218,165,0.516808655088365
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(2) + skills,c_upi,0.44112156531311764,0.1148149301892085,3.842022675850382,0.00019440262147174536,0.21385245087031132,0.6683906797559239,165,0.5309499979751755
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(2) + skills,upi_x_diglit_w,-0.04158641427205816,0.025864280548755815,-1.6078705221923775,0.11042748997955432,-0.09278317175237168,0.00961034320825535,165,0.5309499979751755
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(2) + skills,branches_per_lakh_adults,0.004853317261760344,0.004755149640557648,1.020644486214567,0.3094261887459566,-0.004559209890166982,0.014265844413687669,165,0.5309499979751755
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(2) + skills,atms_per_lakh_adults,-0.0008254788092788827,0.002275628865124095,-0.36274755604045633,0.7174160563610052,-0.005329946617820487,0.0036789889992627214,165,0.5309499979751755
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(2) + skills,ln_nsdp_pc,0.03311756546088034,0.021734842958292623,1.523708522966107,0.1301485390591488,-0.009905223505191851,0.07614035442695254,165,0.5309499979751755
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(3) + resources,c_upi,0.4964415541978013,0.1411539475125714,3.5170221091662164,0.0006120929530692987,0.2170359699377878,0.7758471384578147,165,0.4410049474684766
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(3) + resources,upi_x_income_s,-0.02961634047082129,0.028083954588337325,-1.0545644623396568,0.29369165339395176,-0.08520680661337976,0.025974125671737187,165,0.4410049474684766
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(3) + resources,branches_per_lakh_adults,0.008002292133001842,0.0048402343513687645,1.6532860915585383,0.10082280408946365,-0.0015786549870149841,0.01758323925301867,165,0.4410049474684766
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(3) + resources,atms_per_lakh_adults,-0.0007019525954843383,0.0023317952503113695,-0.30103526259031754,0.7638958942026781,-0.005317598319667486,0.003913693128698809,165,0.4410049474684766
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(3) + resources,ln_nsdp_pc,0.03771120029070397,0.026116743056393214,1.4439472873503079,0.15129613275599163,-0.01398529124376268,0.08940769182517061,165,0.4410049474684766
