state_raw,year_label,fy_end,value,table,source_title,source_url
Haryana,2013,2013,3412.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Haryana,2014,2014,3962.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2004,2004,795.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2005,2005,807.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2006,2006,820.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2007,2007,861.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2008,2008,905.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2009,2009,957.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2010,2010,1017.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2011,2011,1077.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2012,2012,1164.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2013,2013,1264.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Himachal Pradesh,2014,2014,1386.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2004,2004,856.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2005,2005,875.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2006,2006,873.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2007,2007,894.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2008,2008,948.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2009,2009,984.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2010,2010,1013.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2011,2011,1041.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2012,2012,1198.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2013,2013,1364.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Jammu & Kashmir,2014,2014,1535.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2004,2004,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2005,2005,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2006,2006,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2007,2007,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2008,2008,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2009,2009,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2010,2010,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2011,2011,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2012,2012,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2013,2013,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Ladakh,2014,2014,,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2004,2004,2693.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2005,2005,2764.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2006,2006,2824.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2007,2007,2962.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2008,2008,3165.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2009,2009,3324.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2010,2010,3595.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2011,2011,3895.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2012,2012,4346.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2013,2013,4854.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
Punjab,2014,2014,5547.0,t152_bank_offices,Table 152: State-wise Distribution of Offices of Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23601
