march_year,fy_end,state_key,no_of_credit_accounts,credit_outstanding_rs_crore,credit_offices,credit_src,no_of_deposit_accounts,deposit_amount_rs_crore,no_of_offices,deposit_src
2021,2021,lakshadweep,5355,97.2256,12,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",87547.0,1238.6616,21.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,madhya pradesh,10637955,294251.8729,5743,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",112592643.0,453371.9983,7248.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,maharashtra,56772651,2915896.6242,12158,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",220073570.0,3163107.7141,13648.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,manipur,255299,6925.7856,178,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3069499.0,12322.6519,210.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,meghalaya,243519,8876.9412,264,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3175652.0,25821.4491,367.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,mizoram,106317,2988.466,115,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1558558.0,11999.8455,210.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,nagaland,187122,5399.1531,164,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1639343.0,12579.4336,180.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,odisha,8108425,135070.6597,4150,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",68638037.0,363567.2283,5289.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,puducherry,629170,13501.3082,217,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3075824.0,22137.8457,268.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,punjab,6168376,245058.6383,5998,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",60968084.0,459027.494,6700.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,rajasthan,10184102,344143.3092,6079,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",99425466.0,474437.8967,7871.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,sikkim,114686,3799.5892,163,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1105684.0,10604.1765,164.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,tamil nadu,37847074,1010122.3929,10906,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",151821541.0,1008730.9389,12028.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,telangana,10256008,538079.4063,4469,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",71324744.0,605467.8497,5579.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,tripura,860733,9247.3363,420,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",5795488.0,28400.0286,579.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,uttar pradesh,18056326,472504.8698,13230,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",283999568.0,1277877.944,18125.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,uttarakhand,1472045,55741.4332,1838,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",20080177.0,165332.7231,2220.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,west bengal,16566328,401227.685,8096,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",158614408.0,889011.2839,9379.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,andaman and nicobar islands,61020,3146.2971,68,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",608150.0,6772.6593,72.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,andhra pradesh,14392242,493143.7953,5935,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",98507220.0,385881.0001,7446.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,arunachal pradesh,118293,5647.3434,133,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1946181.0,24121.2383,172.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,assam,4820670,87559.6612,2434,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",51977238.0,189482.7869,3043.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,bihar,11469178,167104.8212,5305,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",153926494.0,442416.927,7640.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,chandigarh,541374,80475.9462,380,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",4526153.0,89738.4708,438.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,chhattisgarh,2859690,125716.5619,2170,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",44757758.0,197250.3787,2897.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,dadra and nagar haveli and daman and diu,117759,4721.2839,103,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1631456.0,13210.0566,102.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,delhi,6573243,1388168.4266,3459,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",57770996.0,1489929.9302,3712.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,goa,480978,22605.4458,640,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6013367.0,92899.5292,663.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,gujarat,11335070,637585.6221,7538,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",108522063.0,928467.6584,8599.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,haryana,6329300,325073.623,4297,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",60376428.0,614013.9498,5190.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,himachal pradesh,988494,36810.4535,1353,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",15319423.0,123671.7909,1674.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,jammu and kashmir,2511554,78153.9701,1500,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",23707551.0,160683.687,1897.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,jharkhand,4546715,83304.2417,2653,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",52988029.0,282989.1434,3206.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,karnataka,18304964,797946.1328,8573,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",133941008.0,1382551.7441,10780.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,kerala,11533174,394412.0393,5882,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",83172705.0,670289.4697,6814.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,lakshadweep,6016,117.5588,12,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",91566.0,1230.4191,21.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,madhya pradesh,11167181,329216.6846,5787,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",119624584.0,510313.0058,7338.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,maharashtra,72371088,3198247.83,12164,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",233188807.0,3491987.694,13590.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,manipur,265209,8096.5808,186,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3471552.0,13813.2222,225.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,meghalaya,240653,8469.417,264,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3338442.0,29440.6962,368.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,mizoram,101864,3434.0657,118,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1587447.0,13101.6704,220.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,nagaland,188369,6220.5993,165,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1717794.0,14579.2979,182.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,odisha,8459533,162369.8743,4211,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",73806889.0,421412.6277,5367.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,puducherry,656663,14676.2824,215,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3245201.0,24552.4056,265.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,punjab,6303778,267627.7115,5867,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",67768161.0,510137.9739,6550.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,rajasthan,10926226,389204.8119,6159,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",107916435.0,530633.8932,7969.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,sikkim,115104,4878.1011,159,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1152756.0,12410.573,165.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,tamil nadu,38123038,1109683.1736,10942,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",158085491.0,1117411.8049,12094.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,telangana,10945772,589688.3931,4479,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",74587894.0,638949.1259,5605.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,tripura,764151,10307.3605,420,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6099956.0,31304.2481,589.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,uttar pradesh,19021514,551027.2597,13158,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",305323727.0,1394176.5309,18073.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,uttarakhand,1514188,61755.7516,1802,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",21882622.0,180784.1851,2176.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2022,2022,west bengal,15082207,440085.0649,8293,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",172418288.0,978185.2807,9616.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,andaman and nicobar islands,70739,3674.7137,70,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",643072.0,7121.6694,70.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,andhra pradesh,15940925,574544.0818,6123,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",100356722.0,429718.6632,7663.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,arunachal pradesh,129805,6912.6701,147,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2093419.0,26656.4016,187.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,assam,4477590,101891.8632,2473,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",56882605.0,207312.2152,3085.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,bihar,12949890,197375.5904,5467,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",158631066.0,478429.1163,7832.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,chandigarh,572289,75587.2819,387,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6633819.0,99918.1913,449.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,chhattisgarh,3091736,150393.4311,2260,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",45493127.0,216407.0054,2979.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,dadra and nagar haveli and daman and diu,123391,5407.1938,103,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1735839.0,14188.1721,103.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,delhi,7270725,1496251.4732,3524,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",126406800.0,1658865.9538,3775.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,goa,508433,25565.91,647,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6320770.0,102037.7539,668.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,gujarat,12606273,721270.0599,7817,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",115748971.0,1027452.765,8862.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,haryana,7128432,397500.5764,4426,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",66351754.0,702370.0609,5326.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,himachal pradesh,1043441,42064.9254,1398,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",16594860.0,136485.6652,1734.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,jammu and kashmir,2722456,89906.7625,1571,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",25126764.0,171156.98510000002,1967.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,jharkhand,4963601,99191.9032,2724,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",54789800.0,304044.0182,3298.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,karnataka,19888746,916494.8504,8830,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",143759011.0,1485252.9164,11034.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,kerala,12250096,454590.7984,6004,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",90843196.0,724012.8399,6921.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,lakshadweep,6808,144.8379,13,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",94804.0,1412.509,22.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,madhya pradesh,11734183,375456.6829,5978,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",129791040.0,547367.403,7541.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,maharashtra,93269579,3891878.9035,12561,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",258512123.0,3922907.8327,13972.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,manipur,312948,10477.3222,200,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3598482.0,14850.5826,240.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,meghalaya,252439,10652.4008,269,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3506501.0,31274.5838,374.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,mizoram,111899,4021.9384,121,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1664672.0,14681.8489,227.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,nagaland,199446,7574.9572,176,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1832801.0,15579.4457,192.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,odisha,8934020,192227.931,4376,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",79578034.0,463318.1299,5548.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,puducherry,673567,16495.1835,218,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3518046.0,26468.5339,272.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,punjab,6728426,291055.3242,5950,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",71320660.0,560275.3074,6612.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,rajasthan,11966012,452458.9363,6475,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",117782931.0,594425.8077,8304.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,sikkim,123613,5803.6072,164,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1232900.0,13553.9585,168.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,tamil nadu,39869393,1260693.9827,11299,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",178253442.0,1211393.8636,12407.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,telangana,12154235,686926.1631,4668,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",80947704.0,693886.8658,5819.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,tripura,727859,10878.2872,433,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",7100330.0,34065.312,613.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,uttar pradesh,21177443,644125.8247,13423,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",361038793.0,1548627.2016,18415.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,uttarakhand,1676856,69892.281,1828,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",23136832.0,200424.6734,2202.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2023,2023,west bengal,15954201,489030.3749,8477,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",182483391.0,1056366.6272,9761.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,andaman and nicobar islands,78959,4109.8492,70,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",670742.0,7745.6798,74.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,andhra pradesh,17805519,680889.8161,6344,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",101659953.0,480579.6867,7898.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,arunachal pradesh,144146,8282.1737,163,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2217677.0,29204.6564,206.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,assam,4449117,120820.7597,2570,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",57741399.0,220474.2979,3190.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,bihar,15350386,238171.4005,5649,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",159765676.0,524251.0505,7979.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,chandigarh,596069,83007.7182,402,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",4979675.0,114088.583,466.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,chhattisgarh,3393720,177413.0398,2381,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",46889681.0,243955.1691,3092.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,dadra and nagar haveli and daman and diu,143940,6899.6149,105,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1834367.0,15654.5042,108.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,delhi,7800281,1680085.2096,3659,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",152815310.0,1855609.4497,3894.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,goa,548631,29810.4135,649,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6482438.0,112021.356,680.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,gujarat,14625279,873701.7537,8068,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",120706719.0,1195365.0107,9191.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,haryana,8082106,510036.6344,4598,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",118173995.0,788798.2172,5515.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,himachal pradesh,1139391,49807.5373,1438,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",16792035.0,150334.4192,1774.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,jammu and kashmir,3146882,102103.7793,1636,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",25339256.0,184814.5826,2033.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,jharkhand,5387084,119135.5387,2820,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",57397687.0,336723.934,3399.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,karnataka,23078693,1114887.5003,9052,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",148103436.0,1682410.9868,11236.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,kerala,13883973,540550.344,6214,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",94434672.0,803411.0902,7130.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,lakshadweep,7618,167.448,14,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",95790.0,1531.569,23.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,madhya pradesh,13050471,448527.7543,6150,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",133314358.0,617814.2023,7703.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,maharashtra,109356920,4679667.7751,12910,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",267519063.0,4667846.7919,14410.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,manipur,299875,11287.7569,210,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3661460.0,15669.124,250.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,meghalaya,278421,12874.4916,280,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3687269.0,34372.1282,388.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,mizoram,120819,4697.3308,126,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1759105.0,15713.356,235.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,nagaland,216487,8756.6871,186,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1914326.0,17135.0695,209.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,odisha,9799522,237387.7806,4556,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",81616282.0,522543.0552,5712.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,puducherry,700664,19801.0275,227,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3567357.0,30226.0071,285.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,punjab,7325044,349048.7224,6110,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",76466367.0,617488.8581,6784.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,rajasthan,13444342,544387.1998,6759,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",120702553.0,670969.9614,8552.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,sikkim,127886,6519.6746,169,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1274785.0,14748.1132,176.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,tamil nadu,40418857,1493712.2964,11641,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",173548102.0,1344553.3028,12832.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,telangana,13826552,833213.7938,4886,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",80808682.0,788090.7525,6047.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,tripura,749511,12870.3308,453,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6087440.0,37109.0281,634.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,uttar pradesh,24262301,795540.6663,13884,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",369115511.0,1745806.7478,18883.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,uttarakhand,1905531,86239.9694,1895,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",24285000.0,222834.806,2280.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2024,2024,west bengal,17615241,549750.3074,8640,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",186945284.0,1143462.521,9948.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
