march_year,fy_end,state_key,no_of_credit_accounts,credit_outstanding_rs_crore,credit_offices,credit_src,no_of_deposit_accounts,deposit_amount_rs_crore,no_of_offices,deposit_src
2018,2018,rajasthan,5784112,238458.0163,5555,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",87727566.0,334008.1655,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,sikkim,64373,2272.1698,135,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1004464.0,8532.8445,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,tamil nadu,38552759,804302.9493,9905,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",136223243.0,716716.4979,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,telangana,5829719,432149.6061,4087,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",67677137.99999999,417817.3143,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,tripura,636230,6586.4861,303,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6244568.999999999,22020.2338,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,uttar pradesh,11057943,347993.2161,12426,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",258710682.0,953577.9099,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,uttarakhand,1003057,42472.801,1712,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",19150429.0,122535.9172,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,west bengal,9204830,357431.4778,6814,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",146805494.0,718580.3238,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2019,2019,andaman and nicobar islands,46881,2173.1822,67,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",615681.0,5185.8272,69.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,andhra pradesh,11571487,336259.9986,5603,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",91670674.0,300451.8124,7087.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,arunachal pradesh,84161,3636.1948,123,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1548936.0,16658.7667,155.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,assam,3937536,61017.1923,1841,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",41005351.0,147091.1249,2404.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,bihar,7164536,104761.1922,4641,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",125866480.0,353168.8148,6917.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,chandigarh,454062,76110.9325,383,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",4185926.0,68300.2662,442.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,chhattisgarh,1778344,87206.2351,1881,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",39671833.0,142655.6777,2634.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,dadra and nagar haveli and daman and diu,90576,3585.4593,104,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1482981.0,9049.0759,106.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,delhi,5480599,1300025.5191,3453,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",50850314.0,1210108.3568,3716.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,goa,400388,18802.8204,658,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",5782595.0,71135.309,697.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,gujarat,7596644,523536.1129,7080,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",98768872.0,674921.5635,8150.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,haryana,4266885,240905.8083,4148,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",51270033.0,409974.4523,5008.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,himachal pradesh,794894,27585.383,1332,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",13464595.0,95529.464,1635.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,jammu and kashmir,1608218,51392.2874,1427,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",21661174.0,118121.756,1830.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,jharkhand,2820073,57759.3077,2496,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",45663953.0,218584.6903,3051.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,karnataka,12927241,618391.3382,8133,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",125117732.0,934363.5635,10285.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,kerala,11598492,308951.0745,5710,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",73495187.0,495761.7621,6622.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
