state_raw,year_label,fy_end,value,table,source_title,source_url
Chandigarh,2014-15,2015,212594.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chandigarh,2015-16,2016,230009.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chandigarh,2016-17,2017,252236.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chhattisgarh,2011-12,2012,55177.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chhattisgarh,2012-13,2013,60849.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chhattisgarh,2013-14,2014,69880.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chhattisgarh,2014-15,2015,72936.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chhattisgarh,2015-16,2016,72991.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Chhattisgarh,2016-17,2017,83285.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Delhi,2011-12,2012,185001.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Delhi,2012-13,2013,205568.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Delhi,2013-14,2014,227900.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
