dependent,regressor,coef,se_cluster,t,p_clustered,p_wild_bootstrap,wcb_ci_lo,wcb_ci_hi,B
norm_credit_accts_per_adult,upi_x_diglit_w,-0.06143944719125371,0.04365515988617641,-1.4073811057260328,0.15674945940449025,0.1039,-0.13492998328110836,0.010806772325417803,9999
norm_credit_accts_per_adult,upi_x_income_s,0.03519605444393273,0.04783629922497132,0.735760395644482,0.4577643596645524,0.3912,-0.044287514518455154,0.11544482647152157,9999
norm_credit_accts_per_adult,c_upi,0.37385933130203974,0.14548153850416667,2.569806005257033,0.010423408972162207,0.0171,0.07506203546526913,0.6787878832815908,9999
norm_deposits_per_capita,upi_x_diglit_w,0.055621972278925874,0.027778288417414546,2.002354192710296,0.04481812752103753,0.0609,-0.002579774624681487,0.11460652668762997,9999
norm_deposits_per_capita,upi_x_income_s,0.04483312046787844,0.01876647052988405,2.3890011921253604,0.017054051246308655,0.0133,0.01004161147204808,0.08022537361423498,9999
norm_deposits_per_capita,c_upi,0.13195600458365112,0.039400691169405935,3.3490784213986844,0.0009399691388205511,0.0029,0.05089842977489868,0.2146705314170943,9999
norm_credit_per_capita,upi_x_diglit_w,-0.028528823290306687,0.014339632170827916,-1.989508723127836,0.046185392641335365,0.0442,-0.05692581309340117,-0.0012672225761902085,9999
norm_credit_per_capita,upi_x_income_s,0.052879599721473096,0.011969145504988099,4.417992888417616,1.7430938520357486e-05,0.0002,0.028952863122561092,0.07688132157849764,9999
norm_credit_per_capita,c_upi,0.04369045243305423,0.0319802148742432,1.3661713220145506,0.1691470564295754,0.1858,-0.0269041160310406,0.11354833355858357,9999
norm_deposit_accts_per_adult,upi_x_diglit_w,0.12403452014390903,0.053236348555299615,2.3298840643637937,0.019921634272515476,0.0391,0.006603176359395738,0.24180125617205003,9999
norm_deposit_accts_per_adult,upi_x_income_s,-0.05153654674546533,0.054177920387379896,-0.9512463080341887,0.33742067023225175,0.3149,-0.1548169171965273,0.05056751749441947,9999
norm_deposit_accts_per_adult,c_upi,0.28619066503184026,0.16063187531490467,1.781655505613619,0.07373200116318879,0.054,-0.0016452557111311106,0.5762274854575873,9999
