dependent,label,coef_all165,se_all165,p_all165,coef_drop_d7,se_drop_d7,p_drop_d7,N_drop_d7
norm_deposit_accts_per_adult,deposit accts / adult,0.19258223271167235,0.1513501065302117,0.2056016436403214,0.017712064893626946,0.02671042471885372,0.5085083258866949,163
norm_credit_accts_per_adult,credit accts / adult,0.438983799384108,0.11111709503446879,0.0001299780352634894,0.44460230649291216,0.11856996601786826,0.00027207684601737725,163
Access,Access (composite),0.3157830160478901,0.08732213326980491,0.00043317999526326645,0.23115718569326946,0.06463449217316655,0.000500416759129596,163
