state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc,txn_count,txn_amount_inr,txn_count_p2p,txn_count_retail,txn_count_utility,registered_users_31mar,pp_users_per_adult,pp_txns_per_capita,pp_value_per_capita,pp_value_to_nsdp,pp_ticket_size_rs,ln_pp_users_per_adult,ln_pp_txns_per_capita,ln_pp_value_per_capita
ANDAMAN AND NICOBAR ISLANDS,2019,69.0,105.0,47929.0,615681.0,5186.0,2181.0,204254.0,269.5,397.0,25.60296846011132,38.961038961038966,2.284530612244898,0.1778441558441558,130629.72292191436,54937.02770780856,0.1846935705027835,0.1249778255733922,0.1323556166631539,0.0652151835779197,0.1548356980380879,0.0987854001205368,0.056050297917551,12.227119596373818,108081,337196488.12155986,39674,66597,1810.0,24369.0,0.0904230055658627,0.2722443324937028,849.3614310366747,0.004158358862184705,3119.849817466158,-2.403256557612125,-1.3010553346724247,6.744484809545043
ANDAMAN AND NICOBAR ISLANDS,2020,71.0,120.0,50461.0,624585.0,5811.0,2561.0,219653.0,273.2,399.0,25.98828696925329,43.92386530014641,2.286182284040996,0.184703513909224,145639.09774436092,64185.46365914787,0.1849296007310518,0.1337034630004803,0.1514772151358296,0.0782314617077663,0.1593165318657661,0.1148543384217979,0.0444621934439681,12.299804307403074,178156,666651105.5522575,75046,90923,12187.0,36875.0,0.13497437774524157,0.4465062656641604,1670.8047758201944,0.007606564790010583,3741.951466985437,-2.002670313036651,-0.8063018459215782,7.421060691022212
ANDAMAN AND NICOBAR ISLANDS,2021,72.0,128.0,58904.0,583380.0,6043.0,2812.0,205368.0,276.3,400.0,26.058631921824105,46.32645674990952,2.111400651465798,0.2131885631559898,151075.0,70300.0,0.1599526357363751,0.1699386630676398,0.1584024296433382,0.0868370795729212,0.1649456494020074,0.1226197546081297,0.0423258947938777,12.232558770766,810949,2283943594.9079094,298875,339251,172823.0,69111.0,0.2501302931596091,2.0273725,5709.858987269774,0.02780306078488262,2816.3837613806904,-1.385773324244745,0.7067406197033087,8.64994960659551
ANDAMAN AND NICOBAR ISLANDS,2022,72.0,123.0,94580.0,608150.0,6773.0,3462.0,229570.0,279.6,402.0,25.751072961373392,43.99141630901288,2.1750715307582262,0.3382689556509299,168482.58706467663,86119.40298507463,0.1690514483509274,0.3290506592334028,0.1805792953800173,0.109101357574656,0.2490510537921651,0.1448403264773367,0.1042107273148284,12.343963272869615,2766636,7102150179.306252,1096489,948661,721486.0,102605.0,0.36697067238912734,6.882179104477612,17667.040247030476,0.07695709477296893,2567.0706877616904,-1.0024733458669275,1.9289353320987774,9.779456049700903
ANDAMAN AND NICOBAR ISLANDS,2023,70.0,124.0,74253.0,643072.0,7122.0,3705.0,263984.0,282.3,403.0,24.79631597591215,43.92490258590152,2.2779737867516827,0.263028692879915,176724.5657568238,91935.48387096774,0.1837565750164312,0.2333391878929445,0.1910793867586332,0.1172869282846425,0.2085478814546879,0.1541831575216379,0.0543647239330499,12.483643774231226,8009579,15926618316.085451,2941580,3879828,1188171.0,134328.0,0.47583421891604677,19.874885856079405,39520.14470492668,0.14970659094841612,1988.446373534171,-0.7426857650022755,2.9894569174335595,10.58456581341701
ANDHRA PRADESH,2019,7087.0,10556.0,14465301.0,91670674.0,300452.0,373572.0,154031.0,38539.8,52221.0,18.388782505358098,27.38986709842812,2.378597553697736,0.3753340961810907,57534.70825912947,71536.73809387028,0.1981360968667193,0.376200403332239,0.0392342483669971,0.0885776686939672,0.2871682500994791,0.0639059585304822,0.2232622915689969,11.9449091598392,147663871,222629544072.1353,86306754,53823135,7533982.0,7399826.0,0.19200478466416535,2.8276722199881275,4263.218706499977,0.02767766687549894,1507.6778264341676,-1.6502349871389954,1.0394538360792165,8.357779718874047
ANDHRA PRADESH,2020,7252.0,11049.0,15114394.0,92229340.0,324873.0,418830.0,160341.0,39028.9,52504.0,18.581102721316768,28.30979094978337,2.363103751322738,0.3872615933321205,61875.85707755599,79771.06506170958,0.1959219731407136,0.3913731082071344,0.0447647721628278,0.1001666866197465,0.293647540673924,0.0724657293912871,0.2211818112826368,11.985058076324409,456224368,904711355337.2408,251058314,175099458,30066596.0,11664133.0,0.2988588712466915,8.689325918025293,17231.284384756225,0.10746648944908804,1983.0404046660674,-1.2077838195391304,2.1620953664211124,9.754481870258326
ANDHRA PRADESH,2021,7431.0,11635.0,16651870.0,95917846.0,359770.0,486536.0,168063.0,39521.0,52787.0,18.80266187596468,29.440044533286105,2.4270095898383137,0.4213423243338984,68155.03817227726,92169.66298520468,0.205054362328532,0.4347264510638148,0.052764304525156,0.1176165127137446,0.3198904066961734,0.0851904086194503,0.234699998076723,12.032094188090468,1114327170,2554043032593.083,596523678,390253826,127549666.0,16309736.0,0.412685306545887,21.109878758027545,48383.93984490657,0.2878916825530103,2292.0046296574487,-0.8850699460900571,3.0497411185006547,10.786923216253598
ANDHRA PRADESH,2022,7446.0,12101.0,18331300.0,98507220.0,385881.0,550560.0,193703.0,39880.6,52972.0,18.67073213542424,30.34307407611721,2.470053610025928,0.459654568888131,72846.22064486898,103934.15389262252,0.2112055177423805,0.4834626085623726,0.0587407631494554,0.1341738945794672,0.3473340631523766,0.0964573288644613,0.2508767342879152,12.174081337142988,2305299781,5104045332237.873,1176723791,851602577,276973413.0,20341205.0,0.5100526321068389,43.51921356565733,96353.64593064021,0.4974298071307115,2214.0484176091945,-0.6732413583790527,3.773202531742346,11.47578051361065
ANDHRA PRADESH,2023,7663.0,12393.0,20317775.0,100356722.0,429719.0,641272.0,219917.0,40240.9,53156.0,19.042814648777732,30.79702491743475,2.4938985460066747,0.504903593110492,80841.10918805026,120639.6267589736,0.214613050459156,0.5410228897940139,0.0689260673586541,0.1576852301461629,0.3778179701265849,0.1133056487524085,0.2645123213741764,12.301005481421964,3965913589,8033362248535.126,1830016550,1777024322,358872717.0,23903359.0,0.5940065704295878,74.60895456768756,151128.04290268503,0.6872049132294685,2025.6019371719917,-0.5208648983513957,4.312260534425565,11.925882722719747
