state_key,fy_end,branches,credit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,deposit_accounts,pop_18plus_000,pop_total_000,branches_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc
ANDAMAN AND NICOBAR ISLANDS,2012,46.0,33057.0,2012.0,774.0,89100.0,366000.0,243.7,383.0,18.87566680344686,1.5018465326220762,0.13564628641772672,52532.63707571801,20208.8772845953,0.14137436402757997,0.10304735511865201,0.04934027716484214,0.022798715366293257,0.12221085957311599,0.0360694962655677,0.08614136330754829,11.3975146134589
ANDAMAN AND NICOBAR ISLANDS,2013,53.0,36909.0,2329.0,898.0,98777.0,405000.0,247.3,385.0,21.431459765467046,1.637687019813991,0.1492478770723817,60493.506493506495,23324.675324675325,0.15935167033071782,0.11975814279584615,0.059309438272262906,0.02715510041697717,0.13955490656328198,0.04323226934462004,0.09632263721866194,11.500620063113073
ANDAMAN AND NICOBAR ISLANDS,2014,59.0,37901.0,2591.0,1014.0,111087.0,440000.0,251.0,387.0,23.50597609561753,1.752988047808765,0.151,66950.90439276486,26201.5503875969,0.17461075795751846,0.12191078471627863,0.06739584650408016,0.03117743285174402,0.14826077133689855,0.049286639677912095,0.09897413165898646,11.618068957080148
ANDAMAN AND NICOBAR ISLANDS,2015,61.0,39865.0,2949.0,1182.0,126344.0,523000.0,255.4,390.0,23.884103367267034,2.047768206734534,0.15608848864526234,75615.38461538461,30307.69230769231,0.21362234661303695,0.1281624545031275,0.07824611859350138,0.03691847737600039,0.17089240055808222,0.05758229798475088,0.11331010257333134,11.74676362454989
ANDAMAN AND NICOBAR ISLANDS,2016,63.0,41595.0,3232.0,1429.0,137064.0,555000.0,259.1,392.0,24.31493631802393,2.14203010420687,0.16053647240447702,82448.97959183673,36454.08163265306,0.22609708841207857,0.13362720594868036,0.08680362728858024,0.0455121147769195,0.17986214718037946,0.06615787103274987,0.1137042761476296,11.828203249012809
ANDAMAN AND NICOBAR ISLANDS,2017,67.0,43141.0,4102.0,1579.0,153904.0,586000.0,262.8,394.0,25.494672754946727,2.2298325722983257,0.16415905631659056,104111.67512690356,40076.142131979694,0.23771698094692761,0.1380778788247554,0.11393117962947504,0.050576335887840405,0.18789742988584152,0.08225375775865772,0.1056436721271838,11.944084310392396
ANDAMAN AND NICOBAR ISLANDS,2018,69.0,45326.0,4683.0,1843.0,178709.0,601404.0,265.8,395.0,25.959367945823928,2.2626185101580134,0.17052671181339352,118556.96202531646,46658.22784810127,0.24205591449702998,0.14590112109915623,0.13202058479060097,0.05977914667569739,0.1939785177980931,0.09589986573314918,0.09807865206494393,12.093514063617418
ANDAMAN AND NICOBAR ISLANDS,2019,69.0,47929.0,5186.0,2181.0,204254.0,615681.0,269.5,397.0,25.60296846011132,2.284530612244898,0.17784415584415583,130629.72292191436,54937.027707808564,0.24495579051414867,0.1548912647259218,0.14713894587320098,0.07135423578047986,0.19992352762003524,0.10924659082684042,0.09067693679319482,12.227119596373818
ANDAMAN AND NICOBAR ISLANDS,2020,71.0,50461.0,5811.0,2561.0,219653.0,624585.0,273.2,399.0,25.98828696925329,2.2861822840409958,0.18470351390922402,145639.09774436092,64185.46365914787,0.24517437490238597,0.16331860819901584,0.16593474164298036,0.08428503155169338,0.2042464915507009,0.12510988659733688,0.07913660495336403,12.299804307403074
ANDAMAN AND NICOBAR ISLANDS,2021,72.0,58904.0,6043.0,2812.0,205368.0,583380.0,276.3,400.0,26.058631921824105,2.111400651465798,0.21318856315598986,151075.0,70300.0,0.2220435469002184,0.19831507456997038,0.17274196111948223,0.09283413337552902,0.21017931073509438,0.13278804724750562,0.07739126348758876,12.232558770766001
