state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc
ANDAMAN AND NICOBAR ISLANDS,2018,69.0,115.0,45326.0,601404.0,4683.0,1843.0,178709.0,265.8,395.0,25.959367945823928,43.26561324303988,2.2626185101580134,0.17052671181339352,118556.96202531646,46658.22784810127,0.18156224715535782,0.11566946713813275,0.11697519682207394,0.05356357436288486,0.1486158571467453,0.0852693855924794,0.0633464715542659,12.093514063617418
ANDAMAN AND NICOBAR ISLANDS,2019,69.0,105.0,47929.0,615681.0,5186.0,2181.0,204254.0,269.5,397.0,25.60296846011132,38.961038961038966,2.284530612244898,0.17784415584415583,130629.72292191436,54937.027707808564,0.18469357050278354,0.12497782557339222,0.13235561666315399,0.06521518357791978,0.1548356980380879,0.09878540012053688,0.056050297917551006,12.227119596373818
ANDAMAN AND NICOBAR ISLANDS,2020,71.0,120.0,50461.0,624585.0,5811.0,2561.0,219653.0,273.2,399.0,25.98828696925329,43.92386530014641,2.2861822840409958,0.18470351390922402,145639.09774436092,64185.46365914787,0.18492960073105183,0.13370346300048036,0.1514772151358296,0.07823146170776639,0.1593165318657661,0.11485433842179799,0.04446219344396812,12.299804307403074
ANDAMAN AND NICOBAR ISLANDS,2021,72.0,128.0,58904.0,583380.0,6043.0,2812.0,205368.0,276.3,400.0,26.058631921824105,46.32645674990952,2.111400651465798,0.21318856315598986,151075.0,70300.0,0.1599526357363751,0.1699386630676398,0.15840242964333826,0.08683707957292125,0.16494564940200745,0.12261975460812975,0.0423258947938777,12.232558770766001
ANDAMAN AND NICOBAR ISLANDS,2022,72.0,123.0,94580.0,608150.0,6773.0,3462.0,229570.0,279.6,402.0,25.751072961373392,43.99141630901288,2.1750715307582262,0.3382689556509299,168482.58706467663,86119.40298507463,0.16905144835092747,0.3290506592334028,0.18057929538001735,0.10910135757465605,0.24905105379216513,0.1448403264773367,0.10421072731482844,12.343963272869617
ANDAMAN AND NICOBAR ISLANDS,2023,70.0,124.0,74253.0,643072.0,7122.0,3705.0,263984.0,282.3,403.0,24.79631597591215,43.92490258590152,2.2779737867516827,0.263028692879915,176724.5657568238,91935.48387096774,0.18375657501643128,0.2333391878929445,0.19107938675863329,0.11728692828464259,0.2085478814546879,0.15418315752163794,0.05436472393304995,12.483643774231226
ANDHRA PRADESH,2018,6958.0,10436.0,12884824.0,91175427.0,274566.0,309165.0,138299.0,38053.8,51938.0,18.284639116198644,27.424330815844936,2.395961165507781,0.3385949366423327,52864.1842196465,59525.78073857292,0.2006174235254234,0.3294653324305331,0.03328410811156079,0.07167340916675093,0.2650413779779782,0.052478758639155854,0.21256261933882237,11.837173286968719
ANDHRA PRADESH,2019,7087.0,10556.0,14465301.0,91670674.0,300452.0,373572.0,154031.0,38539.8,52221.0,18.388782505358098,27.389867098428116,2.3785975536977357,0.3753340961810907,57534.70825912947,71536.73809387028,0.19813609686671932,0.376200403332239,0.039234248366997154,0.08857766869396726,0.28716825009947916,0.0639059585304822,0.22326229156899696,11.9449091598392
ANDHRA PRADESH,2020,7252.0,11049.0,15114394.0,92229340.0,324873.0,418830.0,160341.0,39028.9,52504.0,18.581102721316768,28.309790949783366,2.363103751322738,0.38726159333212057,61875.85707755599,79771.06506170958,0.1959219731407136,0.39137310820713445,0.0447647721628278,0.10016668661974652,0.293647540673924,0.07246572939128716,0.22118181128263686,11.985058076324407
ANDHRA PRADESH,2021,7431.0,11635.0,16651870.0,95917846.0,359770.0,486536.0,168063.0,39521.0,52787.0,18.802661875964677,29.440044533286102,2.4270095898383137,0.42134232433389845,68155.03817227726,92169.66298520469,0.20505436232853208,0.4347264510638148,0.052764304525156035,0.11761651271374467,0.3198904066961734,0.08519040861945035,0.23469999807672307,12.032094188090468
ANDHRA PRADESH,2022,7446.0,12101.0,18331300.0,98507220.0,385881.0,550560.0,193703.0,39880.6,52972.0,18.67073213542424,30.34307407611721,2.4700536100259276,0.45965456888813105,72846.22064486898,103934.15389262252,0.2112055177423805,0.48346260856237266,0.0587407631494554,0.13417389457946724,0.3473340631523766,0.09645732886446132,0.25087673428791524,12.174081337142988
ANDHRA PRADESH,2023,7663.0,12393.0,20317775.0,100356722.0,429719.0,641272.0,219917.0,40240.9,53156.0,19.042814648777735,30.79702491743475,2.4938985460066747,0.504903593110492,80841.10918805026,120639.6267589736,0.21461305045915605,0.5410228897940139,0.06892606735865417,0.15768523014616298,0.37781797012658497,0.11330564875240857,0.2645123213741764,12.301005481421965
