state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000
GOA,2023,668.0,1038.0,576839.0,6320770.0,102038.0,27004.0,532854.0,1103.3,1575.0
GUJARAT,2018,7959.0,11726.0,7689200.0,94293480.0,640358.0,483921.0,176961.0,46039.1,67010.0
GUJARAT,2019,8150.0,11476.0,9404949.0,98768872.0,674922.0,591533.0,197457.0,46986.9,67936.0
GUJARAT,2020,8626.0,12111.0,11538101.0,103155310.0,738912.0,611499.0,212428.0,47943.2,68862.0
GUJARAT,2021,8582.0,12283.0,12769737.0,105125462.0,830161.0,659772.0,207324.0,48908.0,69788.0
GUJARAT,2022,8599.0,13570.0,14327974.0,108522063.0,928468.0,758868.0,241584.0,49774.1,70648.0
GUJARAT,2023,8862.0,14297.0,15470786.0,115748971.0,1027453.0,828364.0,272451.0,50645.8,71507.0
HARYANA,2018,4849.0,6497.0,4489417.0,50062029.0,366393.0,214888.0,208437.0,19279.7,28266.0
HARYANA,2019,5008.0,6433.0,5471358.0,51270033.0,409974.0,278875.0,223022.0,19709.4,28672.0
HARYANA,2020,5224.0,6968.0,7052823.0,54161437.0,475352.0,308058.0,232530.0,20142.7,29077.0
HARYANA,2021,5225.0,6963.0,7643585.0,54791434.0,538565.0,321936.0,225137.0,20581.0,29483.0
HARYANA,2022,5190.0,7075.0,8122278.0,60376428.0,614014.0,372955.0,265163.0,20968.5,29846.0
HARYANA,2023,5326.0,7263.0,9017016.0,66351754.0,702370.0,453537.0,289213.0,21359.3,30209.0
HIMACHAL PRADESH,2018,1533.0,1786.0,838395.0,13232267.0,84896.0,26373.0,165497.0,5289.6,7253.0
HIMACHAL PRADESH,2019,1635.0,1829.0,939105.0,13464595.0,95529.0,30332.0,174804.0,5366.8,7300.0
HIMACHAL PRADESH,2020,1652.0,1855.0,1002960.0,14095312.0,103545.0,32327.0,186559.0,5444.6,7347.0
HIMACHAL PRADESH,2021,1683.0,1929.0,1134908.0,13811004.0,112344.0,35899.0,173565.0,5523.0,7394.0
