dependent,regressor,coef_198_noUPI,p_198_noUPI,coef_165_noUPI,p_165_noUPI,coef_165_UPI,p_165_UPI,r2w_198_noUPI,r2w_165_noUPI,r2w_165_UPI
Access,branches_per_lakh_adults,-0.0089735339720741,0.2011497098321291,-0.003610592260668291,0.48768266137070837,0.005446841642771933,0.37232340885696247,0.0689046650083712,-0.05536164241749941,0.6091042684542921
Access,atms_per_lakh_adults,-0.0016386720567893,0.6644986858667639,-0.006147510409581678,0.1882983765538806,-0.0060777682487271455,0.06703286027006872,0.0689046650083712,-0.05536164241749941,0.6091042684542921
Usage,branches_per_lakh_adults,-0.0126386109702562,0.0006524698460679,-0.011445570534408988,5.6367672591761675e-06,-0.006187951521567191,0.019956914011308502,0.0415238203401654,0.14631373742661913,0.8633214648185774
Usage,atms_per_lakh_adults,-0.0010931188532833,0.6779226667824845,-0.0002447611563422532,0.8879177803286904,-0.00020427753649864707,0.8678537384561635,0.0415238203401654,0.14631373742661913,0.8633214648185774
AUG,branches_per_lakh_adults,0.0036650769981821,0.5124058644252787,0.007834978273740693,0.17403622270045327,0.011634793164339118,0.04460660101787428,0.1110373140806058,0.0036228421113541076,0.3050382300506873
AUG,atms_per_lakh_adults,-0.000545553203506,0.7314812064524232,-0.005902749253239424,0.07362748451903767,-0.005873490712228494,0.03158339917783182,0.1110373140806058,0.0036228421113541076,0.3050382300506873
