spec,equation,dependent,regressor,coef,se,t,p,ci_lo,ci_hi,N,r2_within
digital,(1) Access,Access,branches_per_lakh_adults,0.005446841642771933,0.00608333258412898,0.8953713392199515,0.37232340885696247,-0.006593777583688989,0.017487460869232856,165,0.6091042684542921
digital,(1) Access,Access,atms_per_lakh_adults,-0.0060777682487271455,0.003289418728582006,-1.8476724157727205,0.06703286027006872,-0.012588449333397133,0.00043291283594284156,165,0.6091042684542921
digital,(1) Access,Access,pp_users_per_adult,0.3157830160478901,0.08732213326980491,3.6162998339973518,0.00043317999526326645,0.14294805392744594,0.4886179781683343,165,0.6091042684542921
digital,(1) Access,Access,ln_nsdp_pc,0.00949890737843929,0.02467622389089946,0.3849416920691203,0.7009400758169668,-0.039342251921707705,0.05834006667858628,165,0.6091042684542921
digital,(2) Usage,Usage,branches_per_lakh_adults,-0.006187951521567191,0.002624644303438898,-2.357634332949241,0.019956914011308502,-0.011382857804524003,-0.0009930452386103803,165,0.8633214648185774
digital,(2) Usage,Usage,atms_per_lakh_adults,-0.00020427753649864707,0.001225196481837459,-0.16673043020192707,0.8678537384561635,-0.002629284571933751,0.0022207294989364567,165,0.8633214648185774
digital,(2) Usage,Usage,pp_users_per_adult,0.1833043229247641,0.027576420509160912,6.647139822366366,8.488634239967041e-10,0.12872286212384756,0.23788578372568062,165,0.8633214648185774
digital,(2) Usage,Usage,ln_nsdp_pc,-0.0038512717357053914,0.006733348601964784,-0.5719697528480249,0.5683779123682351,-0.017178454741743385,0.009475911270332604,165,0.8633214648185774
digital,(3) AUG,AUG,branches_per_lakh_adults,0.011634793164339118,0.005734446764017114,2.028930364712057,0.04460660101787428,0.00028471670459099055,0.022984869624087245,165,0.3050382300506873
digital,(3) AUG,AUG,atms_per_lakh_adults,-0.005873490712228494,0.002701356375599818,-2.1742746589384474,0.03158339917783182,-0.011220231674316971,-0.0005267497501400178,165,0.3050382300506873
digital,(3) AUG,AUG,pp_users_per_adult,0.13247869312312596,0.07544433952613173,1.755979228597252,0.08156099459572208,-0.016846788011332325,0.28180417425758425,165,0.3050382300506873
digital,(3) AUG,AUG,ln_nsdp_pc,0.013350179114144592,0.025567180767943617,0.5221607824231906,0.6024899467994811,-0.037254433417488256,0.06395479164577744,165,0.3050382300506873
